Geography,Geography Code,Rural Urban,Tenure: All categories: Tenure; measures: Value,Tenure: Owned: Total; measures: Value,Tenure: Owned: Owned outright; measures: Value,Tenure: Owned: Owned with a mortgage or loan; measures: Value,Tenure: Shared ownership (part owned and part rented); measures: Value,OOS,Tenure: Social rented: Total; measures: Value,Tenure: Social rented: Rented from council (Local Authority); measures: Value,Tenure: Social rented: Other social rented; measures: Value,SRS,Tenure: Private rented: Total; measures: Value,Tenure: Private rented: Private landlord or letting agency; measures: Value,Tenure: Private rented: Employer of a household member; measures: Value,Tenure: Private rented: Relative or friend of household member; measures: Value,Tenure: Private rented: Other; measures: Value,PRS
DY14,DY14,Total,3470,2627,1596,1031,32,5254,322,62,260,644,427,382,7,33,5,854
DY2,DY2,Total,13570,7556,3647,3909,46,15112,4100,3663,437,8200,1568,1455,12,86,15,3136
DY3,DY3,Total,14422,10179,5754,4425,137,20358,2956,2303,653,5912,912,820,6,75,11,1824
DY4,DY4,Total,17132,9013,3761,5252,130,18026,5671,4844,827,11342,1973,1860,8,91,14,3946
DY5,DY5,Total,17181,10754,4810,5944,160,21508,4101,3788,313,8202,1852,1690,17,131,14,3704
DY6,DY6,Total,11467,9849,5547,4302,33,19698,811,768,43,1622,658,596,4,47,11,1316
DY7,DY7,Total,3506,2674,1603,1071,6,5348,368,30,338,736,393,354,11,22,6,786
DY8,DY8,Total,21723,16139,8267,7872,93,32278,3085,2501,584,6170,2070,1881,18,151,20,4140
DY9,DY9,Total,12204,8770,4841,3929,46,17540,1934,1657,277,3868,1270,1162,11,83,14,2540
E1,E1,Total,25820,5312,1964,3348,683,10624,10957,5504,5453,21914,8497,7904,33,240,320,16994
E10,E10,Total,15313,6309,2588,3721,167,12618,3262,739,2523,6524,5409,5194,15,128,72,10818
E11,E11,Total,21486,10356,4494,5862,166,20712,4252,1832,2420,8504,6500,6210,29,213,48,13000
E12,E12,Total,12809,5222,2244,2978,114,10444,3058,2092,966,6116,4245,4065,17,107,56,8490
E13,E13,Total,15667,5304,2098,3206,243,10608,5295,3358,1937,10590,4633,4411,15,132,75,9266
E14,E14,Total,34326,8542,2912,5630,856,17084,11913,4347,7566,23826,12567,12059,67,278,163,25134
E15,E15,Total,19392,4864,1862,3002,574,9728,6742,4244,2498,13484,6988,6732,16,154,86,13976
E16,E16,Total,17393,4106,1136,2970,458,8212,6697,4564,2133,13394,5922,5713,20,94,95,11844
E17,E17,Total,38520,17699,6116,11583,530,35398,9287,5104,4183,18574,10576,10076,35,327,138,21152
E18,E18,Total,8483,5372,2322,3050,128,10744,763,383,380,1526,2128,2023,6,83,16,4256
E1W,E1W,Total,6048,2412,975,1437,109,4824,1224,578,646,2448,2220,2091,30,81,18,4440
E2,E2,Total,18936,4381,1492,2889,366,8762,8523,5545,2978,17046,5465,5175,23,198,69,10930
E3,E3,Total,20428,4577,1528,3049,472,9154,9468,2991,6477,18936,5666,5377,9,211,69,11332
E4,E4,Total,23938,16430,7535,8895,146,32860,4167,2256,1911,8334,2965,2758,26,148,33,5930
E5,E5,Total,19228,4789,1773,3016,354,9578,8491,4154,4337,16982,5366,5099,19,183,65,10732
E6,E6,Total,24280,9690,3556,6134,223,19380,6177,3654,2523,12354,7911,7544,18,247,102,15822
E7,E7,Total,16180,6630,2918,3712,216,13260,3139,1215,1924,6278,5992,5707,19,181,85,11984
E8,E8,Total,17254,3694,1190,2504,366,7388,7826,3641,4185,15652,5142,4932,12,148,50,10284
E9,E9,Total,15708,3193,993,2200,431,6386,8879,4427,4452,17758,3003,2841,10,109,43,6006
EC1A,EC1A,Total,579,179,83,96,0,358,42,3,39,84,329,313,4,5,7,658
EC1M,EC1M,Total,1030,428,206,222,5,856,116,16,100,232,460,432,2,15,11,920
EC1N,EC1N,Total,1259,260,109,151,1,520,655,593,62,1310,322,306,0,10,6,644
EC1R,EC1R,Total,2457,683,293,390,15,1366,1062,623,439,2124,652,606,6,33,7,1304
EC1V,EC1V,Total,6016,1230,499,731,38,2460,3030,2408,622,6060,1644,1540,5,52,47,3288
EC1Y,EC1Y,Total,1900,407,181,226,9,814,1090,546,544,2180,364,332,2,20,10,728
EC2A,EC2A,Total,714,161,55,106,22,322,56,14,42,112,452,443,3,4,2,904
EC2Y,EC2Y,Total,1893,1174,738,436,11,2348,112,81,31,224,535,502,1,26,6,1070
EC3R,EC3R,Total,150,46,16,30,0,92,2,0,2,4,89,85,1,3,0,178
EC4A,EC4A,Total,110,22,11,11,0,44,0,0,0,0,82,78,2,2,0,164
EC4V,EC4V,Total,385,121,72,49,1,242,5,1,4,10,218,199,1,13,5,436
EC4Y,EC4Y,Total,219,63,39,24,0,126,9,2,7,18,124,94,2,6,22,248
EN1,EN1,Total,17578,11212,4842,6370,105,22424,2881,2089,792,5762,3190,3068,15,81,26,6380
EN10,EN10,Total,6784,5022,2280,2742,53,10044,894,132,762,1788,767,722,3,38,4,1534
EN11,EN11,Total,8722,6432,2918,3514,55,12864,1110,144,966,2220,1053,975,8,64,6,2106
EN2,EN2,Total,12713,8963,4356,4607,94,17926,1181,905,276,2362,2322,2155,40,98,29,4644
EN3,EN3,Total,21108,10539,4114,6425,306,21078,5120,3412,1708,10240,4835,4636,13,144,42,9670
EN4,EN4,Total,10023,7322,3562,3760,64,14644,800,524,276,1600,1717,1631,9,61,16,3434
EN5,EN5,Total,15541,10280,5054,5226,175,20560,2233,1444,789,4466,2644,2506,15,97,26,5288
EN6,EN6,Total,11868,9179,5002,4177,48,18358,1335,247,1088,2670,1182,1084,13,75,10,2364
EN7,EN7,Total,8312,6763,2918,3845,153,13526,870,145,725,1740,464,429,3,31,1,928
EN8,EN8,Total,14932,10035,4593,5442,163,20070,2618,825,1793,5236,2007,1895,12,82,18,4014
EN9,EN9,Total,10171,6951,3256,3695,54,13902,2046,1624,422,4092,991,910,15,57,9,1982
EX1,EX1,Total,9224,5212,2562,2650,47,10424,1969,1360,609,3938,1845,1732,14,89,10,3690
EX10,EX10,Total,8077,6304,4585,1719,56,12608,748,560,188,1496,823,726,21,60,16,1646
EX11,EX11,Total,3321,2639,1567,1072,20,5278,249,192,57,498,379,343,8,25,3,758
EX12,EX12,Total,4605,3484,2503,981,25,6968,365,245,120,730,665,591,14,55,5,1330
EX13,EX13,Total,5119,3762,2490,1272,30,7524,597,425,172,1194,641,546,14,74,7,1282
EX14,EX14,Total,9198,6914,4118,2796,38,13828,866,611,255,1732,1235,1104,14,104,13,2470
EX15,EX15,Total,8813,6310,3218,3092,79,12620,1039,629,410,2078,1211,1083,31,86,11,2422
EX16,EX16,Total,13816,9006,5013,3993,152,18012,2007,1390,617,4014,2369,2144,46,147,32,4738
EX17,EX17,Total,8200,5921,3211,2710,69,11842,853,561,292,1706,1223,1106,29,80,8,2446
EX18,EX18,Total,1379,1045,679,366,10,2090,111,45,66,222,185,169,9,7,0,370
EX19,EX19,Total,1590,1245,824,421,12,2490,93,17,76,186,198,181,2,14,1,396
EX2,EX2,Total,17706,11427,5568,5859,172,22854,2661,1771,890,5322,3250,2977,44,195,34,6500
EX20,EX20,Total,8443,6037,3611,2426,56,12074,760,176,584,1520,1440,1285,31,107,17,2880
EX21,EX21,Total,1855,1513,962,551,8,3026,83,19,64,166,201,163,2,34,2,402
EX22,EX22,Total,4398,3217,2064,1153,22,6434,333,109,224,666,722,645,15,57,5,1444
EX23,EX23,Total,6910,4865,3140,1725,97,9730,741,382,359,1482,1078,969,8,92,9,2156
EX24,EX24,Total,1707,1359,974,385,4,2718,176,124,52,352,146,131,6,7,2,292
EX3,EX3,Total,2407,1810,1242,568,14,3620,151,120,31,302,387,350,9,25,3,774
EX31,EX31,Total,10592,7720,4551,3169,110,15440,1046,192,854,2092,1575,1191,149,118,117,3150
EX32,EX32,Total,10049,6236,3020,3216,31,12472,1599,456,1143,3198,2039,1847,37,128,27,4078
EX33,EX33,Total,4461,3417,2073,1344,36,6834,330,62,268,660,602,515,18,53,16,1204
EX34,EX34,Total,7525,4858,2789,2069,24,9716,622,112,510,1244,1880,1730,26,106,18,3760
EX35,EX35,Total,715,497,302,195,3,994,63,9,54,126,132,115,3,12,2,264
EX36,EX36,Total,3703,2463,1510,953,48,4926,425,93,332,850,668,593,11,56,8,1336
EX37,EX37,Total,1379,1096,666,430,10,2192,68,17,51,136,174,144,3,24,3,348
EX38,EX38,Total,3471,2470,1396,1074,9,4940,332,64,268,664,613,548,8,52,5,1226
EX39,EX39,Total,16773,11541,6817,4724,145,23082,1727,377,1350,3454,3078,2797,37,216,28,6156
EX4,EX4,Total,21583,12336,6245,6091,244,24672,3675,1557,2118,7350,5093,4775,30,246,42,10186
EX5,EX5,Total,7803,5774,3191,2583,39,11548,772,586,186,1544,1076,943,26,77,30,2152
EX6,EX6,Total,5919,4544,2680,1864,27,9088,415,115,300,830,837,769,15,47,6,1674
EX7,EX7,Total,5635,3860,2327,1533,93,7720,482,95,387,964,1103,1003,10,80,10,2206
EX8,EX8,Total,16312,11591,6475,5116,87,23182,1704,1156,548,3408,2727,2362,99,188,78,5454
EX9,EX9,Total,3232,2475,1790,685,21,4950,256,201,55,512,418,374,10,25,9,836
FY1,FY1,Total,15425,6643,3186,3457,67,13286,1651,755,896,3302,6894,6595,18,243,38,13788
FY2,FY2,Total,11131,7667,3747,3920,55,15334,1168,861,307,2336,2123,1962,6,143,12,4246
FY3,FY3,Total,14266,9042,4067,4975,43,18084,2279,1799,480,4558,2738,2438,18,262,20,5476
FY4,FY4,Total,19537,13086,6477,6609,47,26172,1769,1264,505,3538,4424,4027,20,349,28,8848
FY5,FY5,Total,20408,16398,8945,7453,95,32796,775,219,556,1550,2950,2676,15,234,25,5900
FY6,FY6,Total,12601,10526,6093,4433,48,21052,464,47,417,928,1417,1264,18,118,17,2834
FY7,FY7,Total,11173,7169,3660,3509,49,14338,1939,373,1566,3878,1861,1694,33,122,12,3722
FY8,FY8,Total,21434,15261,8787,6474,71,30522,1380,204,1176,2760,4441,4105,25,283,28,8882
GL1,GL1,Total,14422,7418,3219,4199,154,14836,2147,1003,1144,4294,4523,4262,37,179,45,9046
GL10,GL10,Total,5800,4098,2072,2026,39,8196,959,843,116,1918,605,559,5,37,4,1210
GL11,GL11,Total,7770,5628,2905,2723,58,11256,1284,1074,210,2568,699,628,9,56,6,1398
GL12,GL12,Total,5686,4366,2144,2222,15,8732,645,418,227,1290,579,530,11,35,3,1158
GL13,GL13,Total,2479,1752,963,789,14,3504,294,252,42,588,382,341,8,23,10,764
GL14,GL14,Total,6702,4734,2562,2172,21,9468,992,203,789,1984,848,764,12,59,13,1696
GL15,GL15,Total,8787,6564,3553,3011,63,13128,1155,183,972,2310,862,761,10,77,14,1724
GL16,GL16,Total,5746,4157,2241,1916,11,8314,848,145,703,1696,642,574,5,51,12,1284
GL17,GL17,Total,4603,3637,1940,1697,44,7274,510,94,416,1020,357,289,7,53,8,714
GL18,GL18,Total,3189,2307,1342,965,22,4614,362,72,290,724,439,390,5,42,2,878
GL19,GL19,Total,3712,2959,1792,1167,28,5918,257,39,218,514,391,341,10,32,8,782
GL2,GL2,Total,20869,15812,6862,8950,257,31624,1704,825,879,3408,2910,2594,78,183,55,5820
GL20,GL20,Total,12077,8483,4020,4463,114,16966,1671,216,1455,3342,1671,1433,65,123,50,3342
GL3,GL3,Total,12982,9782,4994,4788,89,19564,1385,394,991,2770,1621,1219,177,115,110,3242
GL4,GL4,Total,19745,14151,6277,7874,173,28302,3143,2273,870,6286,2088,1845,27,185,31,4176
GL5,GL5,Total,13365,9470,4756,4714,59,18940,1847,1328,519,3694,1832,1695,11,114,12,3664
GL50,GL50,Total,10334,5311,2750,2561,34,10622,839,344,495,1678,4043,3864,17,143,19,8086
GL51,GL51,Total,22142,14492,7018,7474,247,28984,3902,2662,1240,7804,3261,2974,18,227,42,6522
GL52,GL52,Total,19305,13600,6930,6670,142,27200,2046,1019,1027,4092,3302,3094,11,172,25,6604
GL53,GL53,Total,8345,6644,3653,2991,16,13288,366,196,170,732,1225,1136,17,62,10,2450
GL54,GL54,Total,9889,6666,4017,2649,146,13332,1230,144,1086,2460,1469,1294,64,76,35,2938
GL55,GL55,Total,2451,1694,1076,618,46,3388,338,31,307,676,297,256,17,17,7,594
GL56,GL56,Total,3915,2512,1508,1004,59,5024,602,60,542,1204,595,511,42,28,14,1190
GL6,GL6,Total,10472,7995,4562,3433,59,15990,976,715,261,1952,1293,1176,26,68,23,2586
GL7,GL7,Total,18170,11825,6553,5272,219,23650,2951,364,2587,5902,2795,2407,146,152,90,5590
GL8,GL8,Total,3694,2426,1369,1057,49,4852,567,75,492,1134,517,448,35,26,8,1034
GL9,GL9,Total,1089,693,353,340,6,1386,95,15,80,190,228,196,16,11,5,456
GU1,GU1,Total,12372,7237,3431,3806,228,14474,1893,1330,563,3786,2865,2684,44,105,32,5730
GU10,GU10,Total,8675,6999,3543,3456,45,13998,685,428,257,1370,785,700,26,36,23,1570
GU11,GU11,Total,8646,4112,1564,2548,200,8224,1450,193,1257,2900,2810,1544,657,68,541,5620
GU12,GU12,Total,12879,9203,3548,5655,83,18406,1914,639,1275,3828,1580,1408,16,118,38,3160
GU14,GU14,Total,21664,14946,5558,9388,402,29892,3418,410,3008,6836,2725,2314,109,199,103,5450
GU15,GU15,Total,13076,9144,4081,5063,178,18288,1678,216,1462,3356,1956,1583,199,70,104,3912
GU16,GU16,Total,9202,7167,3212,3955,68,14334,728,87,641,1456,1153,844,149,56,104,2306
GU17,GU17,Total,4189,3490,1552,1938,31,6980,248,26,222,496,388,331,13,35,9,776
GU18,GU18,Total,2778,2398,1133,1265,5,4796,116,16,100,232,245,229,1,13,2,490
GU19,GU19,Total,2332,1733,700,1033,4,3466,265,27,238,530,303,281,9,8,5,606
GU2,GU2,Total,11773,7146,3203,3943,212,14292,2112,1711,401,4224,2171,1985,24,88,74,4342
GU20,GU20,Total,1782,1479,718,761,3,2958,78,13,65,156,196,179,9,8,0,392
GU21,GU21,Total,19680,13298,5457,7841,244,26596,2998,2109,889,5996,2963,2769,30,134,30,5926
GU22,GU22,Total,13273,9485,4725,4760,96,18970,1184,815,369,2368,2376,2244,26,80,26,4752
GU23,GU23,Total,2674,2047,1067,980,15,4094,269,192,77,538,288,206,63,15,4,576
GU24,GU24,Total,6349,4962,2334,2628,37,9924,364,103,261,728,890,474,216,25,175,1780
GU25,GU25,Total,2131,1591,905,686,30,3182,78,65,13,156,376,345,19,7,5,752
GU26,GU26,Total,2977,2306,1218,1088,21,4612,226,111,115,452,378,327,12,23,16,756
GU27,GU27,Total,7293,5337,2643,2694,77,10674,1005,655,350,2010,776,701,20,45,10,1552
GU28,GU28,Total,2824,1688,1011,677,20,3376,498,80,418,996,490,412,37,24,17,980
GU29,GU29,Total,4271,2672,1666,1006,38,5344,771,122,649,1542,657,574,37,31,15,1314
GU3,GU3,Total,4488,3584,1971,1613,38,7168,414,291,123,828,393,317,29,23,24,786
GU30,GU30,Total,3783,2845,1463,1382,37,5690,439,54,385,878,400,354,19,22,5,800
GU31,GU31,Total,4825,3542,2030,1512,46,7084,578,74,504,1156,585,519,16,40,10,1170
GU32,GU32,Total,4941,3088,1640,1448,52,6176,839,113,726,1678,836,731,51,43,11,1672
GU33,GU33,Total,3364,2517,1367,1150,14,5034,354,40,314,708,431,395,11,17,8,862
GU34,GU34,Total,12283,8833,4542,4291,134,17666,1634,243,1391,3268,1461,1249,76,101,35,2922
GU35,GU35,Total,9106,6530,2740,3790,108,13060,1309,187,1122,2618,1062,729,163,57,113,2124
GU4,GU4,Total,6663,5042,2560,2482,91,10084,548,374,174,1096,875,819,11,37,8,1750
GU46,GU46,Total,5833,4948,2169,2779,15,9896,411,22,389,822,426,365,21,31,9,852
GU47,GU47,Total,7485,6090,2301,3789,30,12180,569,189,380,1138,744,598,43,62,41,1488
GU5,GU5,Total,4498,3338,1881,1457,32,6676,500,407,93,1000,530,462,37,20,11,1060
GU51,GU51,Total,9422,7222,3135,4087,225,14444,585,45,540,1170,1312,1233,15,56,8,2624
GU52,GU52,Total,6253,5090,2351,2739,34,10180,336,23,313,672,761,498,158,26,79,1522
GU6,GU6,Total,5939,4486,2577,1909,66,8972,704,497,207,1408,564,465,63,27,9,1128
GU7,GU7,Total,9268,6394,3072,3322,93,12788,1288,1039,249,2576,1365,1213,62,65,25,2730
GU8,GU8,Total,6959,5164,2743,2421,101,10328,854,719,135,1708,640,549,35,44,12,1280
GU9,GU9,Total,12341,8754,4280,4474,142,17508,1787,1215,572,3574,1512,1400,23,77,12,3024
HA0,HA0,Total,14863,8223,3748,4475,167,16446,1929,851,1078,3858,4321,4063,17,165,76,8642
HA1,HA1,Total,14480,7726,3485,4241,203,15452,1575,624,951,3150,4723,4466,45,138,74,9446
HA2,HA2,Total,19163,12166,5419,6747,217,24332,2371,1169,1202,4742,4168,3912,29,172,55,8336
HA3,HA3,Total,23034,14825,7113,7712,286,29650,2861,1723,1138,5722,4770,4513,31,172,54,9540
HA4,HA4,Total,19511,15004,6873,8131,144,30008,1654,995,659,3308,2558,2206,126,132,94,5116
HA5,HA5,Total,17660,13498,7138,6360,62,26996,1546,1106,440,3092,2362,2207,26,95,34,4724
HA6,HA6,Total,8823,6072,3363,2709,31,12144,947,432,515,1894,1655,1410,131,51,63,3310
HA7,HA7,Total,13075,9163,4594,4569,87,18326,1315,738,577,2630,2317,2082,77,93,65,4634
HA8,HA8,Total,22947,13216,6089,7127,219,26432,4247,2920,1327,8494,4905,4618,54,171,62,9810
HA9,HA9,Total,15679,7589,3825,3764,381,15178,2663,858,1805,5326,4815,4613,27,122,53,9630
HD1,HD1,Total,8889,3790,2043,1747,33,7580,1648,857,791,3296,3172,3014,15,114,29,6344
HD2,HD2,Total,12071,7369,3474,3895,52,14738,2407,1792,615,4814,2017,1842,6,147,22,4034
HD3,HD3,Total,13044,8949,4221,4728,39,17898,1471,1105,366,2942,2410,2215,16,165,14,4820
HD4,HD4,Total,13195,8309,4136,4173,73,16618,2441,2034,407,4882,2105,1936,8,135,26,4210
HD5,HD5,Total,13557,8893,4306,4587,48,17786,2398,2050,348,4796,1994,1805,7,166,16,3988
HD6,HD6,Total,12340,8581,4092,4489,35,17162,1710,721,989,3420,1858,1701,17,116,24,3716
HD7,HD7,Total,9820,7418,3434,3984,13,14836,746,646,100,1492,1512,1362,8,129,13,3024
HD8,HD8,Total,13850,11137,5474,5663,44,22274,920,767,153,1840,1551,1397,17,119,18,3102
HD9,HD9,Total,14942,11706,5910,5796,42,23412,1216,1040,176,2432,1774,1575,18,162,19,3548
HG1,HG1,Total,15537,10017,4743,5274,97,20034,1675,918,757,3350,3539,3298,32,184,25,7078
HG2,HG2,Total,14243,10665,5752,4913,106,21330,1001,486,515,2002,2304,2143,20,123,18,4608
HG3,HG3,Total,11054,8098,4309,3789,51,16196,924,553,371,1848,1759,1518,80,88,73,3518
HG4,HG4,Total,10884,7224,4005,3219,70,14448,1300,819,481,2600,2050,1652,179,114,105,4100
HG5,HG5,Total,7806,6066,3251,2815,42,12132,695,433,262,1390,903,808,17,68,10,1806
HP1,HP1,Total,10246,6575,2795,3780,43,13150,2410,2062,348,4820,1120,1034,9,68,9,2240
HP10,HP10,Total,7722,6094,2891,3203,56,12188,758,575,183,1516,737,657,17,60,3,1474
HP11,HP11,Total,5106,2914,1212,1702,97,5828,677,373,304,1354,1341,1179,64,48,50,2682
HP12,HP12,Total,8469,5265,2012,3253,129,10530,1387,989,398,2774,1591,1486,17,65,23,3182
HP13,HP13,Total,16733,10211,3849,6362,282,20422,3090,1928,1162,6180,2946,2736,27,139,44,5892
HP14,HP14,Total,7006,5120,2577,2543,48,10240,694,444,250,1388,1023,591,239,42,151,2046
HP15,HP15,Total,6829,5938,3065,2873,20,11876,398,116,282,796,409,357,15,30,7,818
HP16,HP16,Total,4727,3805,2116,1689,9,7610,435,54,381,870,418,376,22,16,4,836
HP17,HP17,Total,4182,3301,1798,1503,21,6602,373,123,250,746,420,366,16,29,9,840
HP18,HP18,Total,5216,3904,1839,2065,21,7808,587,141,446,1174,597,513,40,33,11,1194
HP19,HP19,Total,9428,6136,1805,4331,85,12272,1633,440,1193,3266,1488,1382,10,86,10,2976
HP2,HP2,Total,16128,8369,3309,5060,188,16738,5377,4034,1343,10754,2064,1926,13,110,15,4128
HP20,HP20,Total,5991,3573,1428,2145,56,7146,1007,206,801,2014,1311,1218,7,68,18,2622
HP21,HP21,Total,13378,9030,3625,5405,228,18060,2113,613,1500,4226,1885,1679,46,119,41,3770
HP22,HP22,Total,9922,7592,3736,3856,42,15184,1023,228,795,2046,1137,777,191,55,114,2274
HP23,HP23,Total,7164,5452,2658,2794,21,10904,858,715,143,1716,765,679,31,41,14,1530
HP27,HP27,Total,5103,3896,2188,1708,22,7792,638,474,164,1276,473,411,21,24,17,946
HP3,HP3,Total,12670,8500,3728,4772,63,17000,2502,1972,530,5004,1510,1374,20,92,24,3020
HP4,HP4,Total,10137,7489,3849,3640,46,14978,1254,992,262,2508,1242,1133,38,61,10,2484
HP5,HP5,Total,10306,7251,3610,3641,86,14502,1878,300,1578,3756,1001,924,12,52,13,2002
HP6,HP6,Total,5554,4212,2394,1818,54,8424,722,99,623,1444,518,481,9,20,8,1036
HP7,HP7,Total,4400,3140,1600,1540,55,6280,590,81,509,1180,557,525,7,22,3,1114
HP8,HP8,Total,2681,2244,1265,979,22,4488,197,34,163,394,186,175,4,4,3,372
HP9,HP9,Total,6722,4947,2795,2152,47,9894,775,51,724,1550,857,742,54,27,34,1714
HR1,HR1,Total,13360,9400,5418,3982,115,18800,1610,385,1225,3220,2010,1798,55,125,32,4020
HR2,HR2,Total,16150,10060,5270,4790,170,20120,3443,1334,2109,6886,2194,1817,126,170,81,4388
HR3,HR3,Total,3502,2480,1746,734,16,4960,352,172,180,704,560,487,18,51,4,1120
HR4,HR4,Total,13123,8758,4766,3992,161,17516,1505,362,1143,3010,2478,2179,110,127,62,4956
HR5,HR5,Total,2030,1282,861,421,20,2564,269,26,243,538,394,356,18,18,2,788
HR6,HR6,Total,8908,5888,3704,2184,89,11776,1261,88,1173,2522,1484,1339,38,80,27,2968
HR7,HR7,Total,3131,2137,1323,814,18,4274,451,42,409,902,457,406,18,29,4,914
HR8,HR8,Total,6131,4204,2534,1670,89,8408,755,81,674,1510,973,894,19,43,17,1946
HR9,HR9,Total,9145,6559,3914,2645,61,13118,1053,306,747,2106,1300,1144,50,88,18,2600
HU1,HU1,Total,2122,344,133,211,10,688,763,390,373,1526,941,902,4,21,14,1882
HU10,HU10,Total,8097,6886,3731,3155,12,13772,540,504,36,1080,571,519,4,43,5,1142
HU11,HU11,Total,5139,4251,2390,1861,12,8502,314,246,68,628,472,401,9,42,20,944
HU12,HU12,Total,10871,8512,4197,4315,17,17024,896,717,179,1792,1266,1107,18,113,28,2532
HU13,HU13,Total,6306,4667,2049,2618,15,9334,602,513,89,1204,976,904,6,59,7,1952
HU14,HU14,Total,3467,3065,1655,1410,5,6130,115,84,31,230,253,238,0,15,0,506
HU15,HU15,Total,9717,8032,3537,4495,32,16064,501,395,106,1002,1030,937,13,73,7,2060
HU16,HU16,Total,6919,5486,3195,2291,14,10972,644,583,61,1288,685,614,10,50,11,1370
HU17,HU17,Total,18733,13958,6922,7036,81,27916,1963,1487,476,3926,2448,2147,72,173,56,4896
HU18,HU18,Total,3886,2893,1683,1210,8,5786,385,248,137,770,547,498,7,39,3,1094
HU19,HU19,Total,3098,1958,1098,860,10,3916,451,405,46,902,610,544,6,54,6,1220
HU2,HU2,Total,2170,415,153,262,8,830,1116,887,229,2232,589,555,3,26,5,1178
HU20,HU20,Total,422,361,206,155,1,722,15,15,0,30,39,38,1,0,0,78
HU3,HU3,Total,12928,4310,1747,2563,79,8620,3846,2741,1105,7692,4459,4284,11,122,42,8918
HU4,HU4,Total,10202,6169,2649,3520,100,12338,2578,1956,622,5156,1213,1097,3,100,13,2426
HU5,HU5,Total,22633,12319,5183,7136,93,24638,2986,1973,1013,5972,6983,6629,20,290,44,13966
HU6,HU6,Total,14114,6521,3002,3519,25,13042,5287,4135,1152,10574,2062,1742,4,119,197,4124
HU7,HU7,Total,17171,9992,3402,6590,38,19984,5160,4138,1022,10320,1757,1581,5,142,29,3514
HU8,HU8,Total,15131,9527,3944,5583,57,19054,3179,2844,335,6358,2136,1949,6,159,22,4272
HU9,HU9,Total,18703,8227,3119,5108,103,16454,6955,4997,1958,13910,3127,2925,9,174,19,6254
HX1,HX1,Total,8935,4631,2256,2375,23,9262,1618,373,1245,3236,2446,2237,14,139,56,4892
HX2,HX2,Total,15502,10424,4948,5476,54,20848,2889,1238,1651,5778,1944,1696,14,202,32,3888
HX3,HX3,Total,20308,14026,6540,7486,49,28052,2957,1093,1864,5914,3058,2735,22,277,24,6116
HX4,HX4,Total,5195,3896,1676,2220,51,7792,494,134,360,988,692,611,4,70,7,1384
HX5,HX5,Total,4605,2811,1281,1530,27,5622,829,311,518,1658,877,802,5,63,7,1754
HX6,HX6,Total,8327,5380,2257,3123,50,10760,1333,445,888,2666,1437,1311,3,106,17,2874
HX7,HX7,Total,6183,4390,2278,2112,47,8780,704,150,554,1408,976,887,3,73,13,1952
IG1,IG1,Total,20155,10122,4370,5752,266,20244,2582,1114,1468,5164,6918,6627,23,204,64,13836
IG10,IG10,Total,13151,9211,4153,5058,59,18422,2273,1965,308,4546,1454,1364,9,71,10,2908
IG11,IG11,Total,19208,7673,2742,4931,293,15346,6666,5626,1040,13332,4387,4099,11,202,75,8774
IG2,IG2,Total,9618,6396,2832,3564,130,12792,639,296,343,1278,2364,2226,12,98,28,4728
IG3,IG3,Total,11229,6842,2910,3932,79,13684,878,412,466,1756,3280,3114,9,116,41,6560
IG4,IG4,Total,2734,2127,985,1142,10,4254,112,95,17,224,456,423,1,29,3,912
IG5,IG5,Total,5814,4375,2008,2367,11,8750,672,443,229,1344,696,633,1,55,7,1392
IG6,IG6,Total,10335,6953,3170,3783,105,13906,1578,1108,470,3156,1574,1484,8,71,11,3148
IG7,IG7,Total,7916,5435,2523,2912,67,10870,1352,1048,304,2704,935,851,26,45,13,1870
IG8,IG8,Total,14013,9995,4654,5341,74,19990,1936,1452,484,3872,1847,1719,14,94,20,3694
IG9,IG9,Total,5520,4161,1999,2162,19,8322,446,337,109,892,833,778,9,43,3,1666
IP1,IP1,Total,16807,9485,4390,5095,105,18970,3527,2386,1141,7054,3501,3294,24,143,40,7002
IP10,IP10,Total,1326,1020,630,390,14,2040,111,11,100,222,154,135,11,6,2,308
IP11,IP11,Total,13108,9024,5042,3982,32,18048,1880,201,1679,3760,2033,1868,32,109,24,4066
IP12,IP12,Total,10389,7405,4453,2952,47,14810,1118,64,1054,2236,1631,1344,136,82,69,3262
IP13,IP13,Total,7516,5448,3307,2141,51,10896,970,182,788,1940,876,767,47,49,13,1752
IP14,IP14,Total,16276,11991,5902,6089,185,23982,1999,1413,586,3998,1876,1682,46,116,32,3752
IP15,IP15,Total,1316,1000,800,200,4,2000,147,18,129,294,136,109,11,12,4,272
IP16,IP16,Total,2920,1811,1063,748,7,3622,583,54,529,1166,466,423,9,26,8,932
IP17,IP17,Total,4872,3402,2176,1226,46,6804,733,59,674,1466,602,542,16,37,7,1204
IP18,IP18,Total,2050,1537,1176,361,25,3074,283,183,100,566,162,131,8,20,3,324
IP19,IP19,Total,4689,3479,2348,1131,20,6958,566,386,180,1132,537,477,18,39,3,1074
IP2,IP2,Total,13767,6889,3147,3742,99,13778,4585,2855,1730,9170,2021,1859,14,117,31,4042
IP20,IP20,Total,3524,2570,1552,1018,71,5140,436,136,300,872,391,349,11,27,4,782
IP21,IP21,Total,4836,3514,2076,1438,45,7028,573,308,265,1146,595,513,16,59,7,1190
