Row Labels,Number of schools,L1 and L2 (number of places delivered 2020/21),L3 (number of places delivered 2020/21 ), Plus (number of places delivered 2020/21),Average L1 and L2 places per school
CV47,17,126,0,0,7.4
CV5,17,115,0,0,6.8
CV6,32,49,0,0,1.5
CV7,20,0,0,0,0
CV8,14,60,0,0,4.3
CV9,19,45,0,0,2.4
CW1,15,325,55,15,21.7
CW10,9,188,0,0,20.9
CW11,12,151,0,0,12.6
CW12,18,119,53,5,6.6
CW2,20,222,39,54,11.1
CW3,7,26,0,0,3.7
CW4,6,59,0,0,9.8
CW5,22,274,0,0,12.5
CW6,10,35,0,1,3.5
CW7,15,0,6,0,0
CW8,26,89,0,0,3.4
CW9,18,28,26,0,1.6
DA1,23,60,0,0,2.6
DA10,3,,,,0
DA11,16,0,0,18,0
DA12,18,36,0,0,2
DA13,7,24,0,90,3.4
DA14,9,,,,0
DA15,13,,,,0
DA16,14,,,,0
DA17,8,,,,0
DA18,4,,,,0
DA2,12,51,0,0,4.3
DA3,9,0,0,18,0
DA4,2,,,,0
DA5,5,,,,0
DA6,6,,,,0
DA7,9,,,,0
DA8,11,,,,0
DA9,2,,,,0
DE1,7,,,,0
DE11,24,48,0,54,2
DE12,15,0,0,57,0
DE13,35,671,41,77,19.2
DE14,14,328,0,35,23.4
DE15,15,153,0,16,10.2
DE21,25,186,0,162,7.4
DE22,23,283,0,251,12.3
DE23,30,120,0,235,4
DE24,27,244,0,5,9
DE3,12,108,0,0,9
DE4,27,40,0,27,1.5
DE45,11,54,0,29,4.9
DE5,16,155,0,52,9.7
DE55,48,285,0,274,5.9
DE56,25,178,0,54,7.1
DE6,21,16,0,19,0.8
DE65,16,47,0,151,2.9
DE7,33,478,33,165,14.5
DE72,9,260,0,0,28.9
DE73,11,135,0,0,12.3
DE74,6,46,0,0,7.7
DE75,12,76,0,0,6.3
DH1,28,211,0,0,7.5
DH2,12,110,0,0,9.2
DH3,14,180,0,0,12.9
DH4,13,22,0,5,1.7
DH5,15,0,0,0,0
DH6,17,117,0,0,6.9
DH7,26,93,0,0,3.6
DH8,21,0,0,0,0
DH9,26,103,0,0,4
DL1,18,0,0,29,0
DL10,13,60,0,0,4.6
DL11,4,,,,0
DL12,9,0,0,0,0
DL13,16,115,0,0,7.2
DL14,25,68,0,0,2.7
DL15,16,34,0,0,2.1
DL16,15,15,0,0,1
DL17,12,19,0,0,1.6
DL2,14,43,0,99,3.1
DL3,20,0,8,159,0
DL4,4,26,0,0,6.5
DL5,14,,,,0
DL6,9,18,0,0,2
DL7,12,38,12,0,3.2
DL8,19,19,0,0,1
DL9,9,0,0,0,0
DN1,4,,,,0
DN10,10,99,0,12,9.9
DN11,14,58,0,12,4.1
DN12,14,,,,0
DN14,27,40,0,0,1.5
DN15,18,156,0,36,8.7
DN16,18,154,0,1,8.6
DN17,16,68,0,2,4.3
DN18,8,51,0,1,6.4
DN19,2,0,0,0,0
DN2,9,,,,0
DN20,12,96,0,2,8
DN21,28,15,0,56,0.5
DN22,24,105,0,24,4.4
DN3,13,,,,0
DN31,2,,,,0
DN32,14,54,0,0,3.9
DN33,8,73,0,0,9.1
DN34,8,10,0,0,1.3
DN35,12,0,0,0,0
DN36,14,103,0,0,7.4
DN37,10,0,0,0,0
DN38,2,,,,0
DN39,4,0,0,0,0
DN4,21,,,,0
DN40,8,30,0,0,3.8
DN41,6,44,0,0,7.3
DN5,21,,,,0
DN6,14,,,,0
DN7,10,,,,0
DN8,6,,,,0
DN9,14,112,0,2,8
DT1,7,6,0,0,0.9
DT10,7,,,,0
DT11,21,25,0,0,1.2
DT2,15,7,4,0,0.5
DT3,9,73,0,0,8.1
DT4,12,7,0,0,0.6
DT5,1,,,,0
DT6,8,,,,0
DT7,4,0,0,0,0
DT8,6,17,0,0,2.8
DT9,14,12,0,0,0.9
DY1,14,0,0,0,0
DY10,15,53,0,0,3.5
DY11,14,62,0,0,4.4
DY12,7,52,0,0,7.4
DY13,10,119,0,0,11.9
DY14,10,13,0,0,1.3
DY2,12,,,,0
DY3,12,0,0,0,0
DY4,22,37,0,0,1.7
DY5,15,0,0,0,0
DY6,16,21,0,0,1.3
DY7,4,,,,0
DY8,20,1,0,36,0.1
DY9,12,124,0,0,10.3
E1,41,,,,0
E10,13,,,,0
E11,12,,,,0
E12,12,,,,0
E13,16,,,,0
E14,30,,,,0
E15,20,,,,0
E16,19,,,,0
E17,39,,,,0
E18,7,,,,0
E1W,4,,,,0
E2,26,,,,0
E20,2,,,,0
E3,21,,,,0
E4,21,,,,0
E5,22,,,,0
E6,23,,,,0
E7,21,,,,0
E8,12,,,,0
E9,15,,,,0
EC1M,2,,,,0
EC1N,1,,,,0
EC1R,3,,,,0
EC1V,4,,,,0
EC1Y,1,,,,0
EC2A,2,,,,0
EC2Y,1,,,,0
EC3A,1,,,,0
EC3N,1,,,,0
EC4M,1,,,,0
EC4V,1,,,,0
EN1,17,,,,0
EN10,7,28,0,0,4
EN11,14,0,0,0,0
EN2,9,,,,0
EN3,25,,,,0
EN4,14,,,,0
EN5,12,,,,0
EN6,21,58,0,0,2.8
EN7,10,24,0,0,2.4
EN8,16,,,,0
EN9,9,132,24,0,14.7
EX1,16,124,0,0,7.8
EX10,8,0,0,0,0
EX11,6,85,0,0,14.2
EX12,6,41,0,0,6.8
EX13,13,22,0,0,1.7
EX14,16,105,0,7,6.6
EX15,15,132,0,0,8.8
EX16,29,85,24,0,2.9
EX17,16,101,0,0,6.3
EX18,2,,,,0
EX19,6,0,0,0,0
EX2,26,102,39,1,3.9
EX20,16,197,0,1,12.3
EX21,11,23,0,0,2.1
EX22,13,39,0,10,3
EX23,12,102,0,0,8.5
EX24,2,0,0,0,0
EX3,4,0,0,0,0
EX31,17,43,110,0,2.5
EX32,17,40,0,0,2.4
EX33,7,14,0,0,2
EX34,9,24,0,0,2.7
EX35,2,0,0,0,0
EX36,8,85,0,0,10.6
EX37,8,17,0,0,2.1
EX38,6,30,6,0,5
EX39,21,159,0,2,7.6
EX4,17,131,26,100,7.7
EX5,21,133,0,3,6.3
EX6,12,63,0,0,5.3
EX7,8,0,0,0,0
EX8,15,84,0,0,5.6
EX9,4,42,0,0,10.5
FY1,9,59,0,0,6.6
FY2,14,21,0,32,1.5
FY3,17,106,0,70,6.2
FY4,23,126,0,78,5.5
FY5,16,88,0,0,5.5
FY6,17,82,0,0,4.8
FY7,9,,,,0
FY8,17,0,0,0,0
GL1,17,67,0,0,3.9
GL10,15,42,0,0,2.8
GL11,13,66,0,0,5.1
GL12,12,61,0,0,5.1
GL13,4,12,0,0,3
GL14,11,39,0,0,3.5
GL15,16,69,0,0,4.3
GL16,10,25,0,0,2.5
GL17,9,34,0,0,3.8
GL18,7,26,0,0,3.7
GL19,13,39,0,0,3
GL2,33,286,31,0,8.7
GL20,21,55,0,0,2.6
GL3,19,24,18,0,1.3
GL4,25,176,0,0,7
GL5,24,60,0,0,2.5
GL50,7,,,,0
GL51,24,111,0,0,4.6
GL52,21,123,6,0,5.9
GL53,13,146,28,0,11.2
GL54,21,109,0,0,5.2
GL55,5,15,0,0,3
GL56,5,41,0,0,8.2
GL6,23,99,0,0,4.3
GL7,44,168,0,0,3.8
GL8,7,27,0,0,3.9
GL9,4,9,0,0,2.3
GU1,17,71,0,0,4.2
GU10,13,32,0,0,2.5
GU11,14,81,0,0,5.8
GU12,11,133,0,0,12.1
GU14,32,57,0,0,1.8
GU15,11,0,0,0,0
GU16,10,42,0,0,4.2
GU17,5,0,0,0,0
GU18,3,0,0,0,0
GU19,3,,,,0
GU2,13,70,0,0,5.4
GU20,2,,,,0
GU21,20,60,0,0,3
GU22,12,60,0,0,5
GU23,2,,,,0
GU24,12,79,0,0,6.6
GU25,3,0,0,0,0
GU26,6,20,0,0,3.3
GU27,9,52,0,0,5.8
GU28,6,9,0,0,1.5
GU29,5,40,0,0,8
GU3,4,,,,0
GU30,6,90,0,0,15
GU31,8,17,0,0,2.1
GU32,11,29,0,0,2.6
GU33,7,92,0,0,13.1
GU34,27,113,0,0,4.2
GU35,9,29,0,0,3.2
GU4,6,0,0,0,0
GU46,12,155,0,0,12.9
GU47,5,6,0,0,1.2
GU5,11,0,0,0,0
GU51,4,,,,0
GU52,11,0,0,0,0
GU6,9,49,0,0,5.4
GU7,16,123,0,0,7.7
GU8,10,12,0,0,1.2
GU9,14,0,0,0,0
HA0,10,,,,0
HA1,14,,,,0
HA2,16,,,,0
HA3,26,,,,0
HA4,18,,,,0
HA5,16,,,,0
HA6,15,0,0,0,0
HA7,8,,,,0
HA8,24,,,,0
HA9,17,,,,0
HD1,7,112,0,71,16
HD2,8,88,8,87,11
HD3,8,183,0,0,22.9
HD4,23,274,45,32,11.9
HD5,20,296,10,0,14.8
HD6,18,0,0,0,0
HD7,15,146,0,36,9.7
HD8,28,381,24,158,13.6
HD9,11,232,67,54,21.1
HG1,13,56,0,0,4.3
HG2,14,0,0,0,0
HG3,27,15,0,0,0.6
HG4,17,0,0,0,0
HG5,9,52,0,0,5.8
HP1,21,26,0,0,1.2
HP10,9,0,0,0,0
HP11,14,47,24,0,3.4
HP12,11,46,0,0,4.2
HP13,15,12,0,0,0.8
HP14,14,30,0,0,2.1
HP15,17,128,0,52,7.5
HP16,10,74,0,0,7.4
HP17,8,0,0,30,0
HP18,17,30,0,0,1.8
HP19,8,,,,0
HP2,20,52,0,0,2.6
HP20,5,,,,0
HP21,21,84,0,0,4
HP22,18,120,0,0,6.7
HP23,13,59,0,0,4.5
HP27,8,0,0,0,0
HP3,14,,,,0
HP4,19,75,10,0,3.9
HP5,16,24,0,0,1.5
HP6,16,52,0,0,3.3
HP7,9,0,0,0,0
HP8,3,0,0,0,0
HP9,15,72,0,0,4.8
HR1,23,,,,0
HR2,20,,,,0
HR3,3,,,,0
HR4,14,,,,0
HR5,2,,,,0
HR6,13,,,,0
HR7,5,,,,0
HR8,9,,,,0
HR9,13,,,,0
HU1,2,,,,0
HU10,8,0,0,0,0
HU11,6,,,,0
HU12,9,0,0,0,0
HU13,4,,,,0
HU14,5,0,0,0,0
HU15,6,0,0,0,0
HU16,4,0,0,0,0
HU17,22,0,0,0,0
HU18,5,0,0,0,0
HU19,4,0,0,0,0
HU2,5,26,0,0,5.2
HU20,1,,,,0
HU3,13,98,0,44,7.5
HU4,17,300,20,130,17.6
HU5,15,282,0,12,18.8
HU6,19,39,20,0,2.1
HU7,24,371,0,10,15.5
HU8,16,349,0,75,21.8
HU9,21,108,0,112,5.1
HX1,11,0,0,0,0
HX2,27,0,0,0,0
HX3,32,0,0,0,0
HX4,7,0,0,0,0
HX5,8,0,0,0,0
HX6,20,0,0,0,0
HX7,17,0,0,0,0
IG1,17,,,,0
IG10,16,180,24,35,11.3
IG11,20,,,,0
IG2,7,,,,0
IG3,11,,,,0
IG4,4,,,,0
IG5,5,,,,0
IG6,12,,,,0
IG7,12,0,0,0,0
IG8,17,,,,0
IG9,6,95,6,0,15.8
IP1,19,0,0,0,0
IP10,3,,,,0
IP11,12,24,0,0,2
IP12,22,30,0,0,1.4
IP13,18,12,0,0,0.7
IP14,25,21,0,0,0.8
IP15,1,,,,0
IP16,3,,,,0
IP17,8,0,0,0,0
IP18,3,,,,0
IP19,5,12,0,0,2.4
IP2,14,0,0,0,0
IP20,6,30,0,0,5
IP21,10,0,0,0,0
IP22,15,29,0,12,1.9
IP23,7,0,0,0,0
IP24,15,,,,0
IP25,8,0,0,0,0
IP26,6,,,,0
IP27,7,84,0,0,12
IP28,15,144,0,0,9.6
IP29,7,59,0,0,8.4
IP3,11,,,,0
IP30,7,19,0,0,2.7
IP31,16,43,0,0,2.7
IP32,12,53,0,0,4.4
IP33,18,21,0,0,1.2
IP4,18,73,15,0,4.1
IP5,6,0,0,0,0
IP6,7,,,,0
IP7,18,61,0,0,3.4
IP8,9,12,0,0,1.3
IP9,13,49,0,0,3.8
KT1,6,,,,0
KT10,12,0,0,0,0
KT11,8,0,0,0,0
KT12,11,102,0,0,9.3
KT13,8,113,0,0,14.1
KT14,6,44,0,0,7.3
KT15,13,41,0,0,3.2
KT16,11,38,0,0,3.5
KT17,11,154,0,0,14
KT18,7,0,0,0,0
KT19,14,156,0,0,11.1
KT2,19,,,,0
KT20,11,0,0,0,0
KT21,5,110,0,0,22
KT22,13,80,0,0,6.2
KT23,7,107,0,0,15.3
KT24,7,91,0,0,13
KT3,14,,,,0
KT4,8,21,0,0,2.6
KT5,4,,,,0
KT6,14,,,,0
KT7,6,106,0,0,17.7
KT8,8,78,0,0,9.8
KT9,7,,,,0
L1,5,,,,0
L10,4,,,,0
L11,12,30,0,0,2.5
L12,17,125,43,0,7.4
L13,15,39,0,0,2.6
L14,7,7,0,0,1
L15,15,32,0,0,2.1
L16,5,55,0,0,11
L17,8,,,,0
L18,7,,,,0
L19,7,,,,0
L20,12,45,0,0,3.8
L21,12,28,0,0,2.3
L22,2,,,,0
L23,18,22,22,0,1.2
L24,4,,,,0
L25,17,119,0,0,7
L26,8,0,0,0,0
L27,3,,,,0
L28,4,,,,0
L3,2,,,,0
L30,11,44,0,0,4
L31,13,57,0,0,4.4
L32,9,,,,0
L33,6,,,,0
L34,10,52,0,0,5.2
L35,15,28,0,0,1.9
L36,18,63,0,0,3.5
L37,11,169,0,0,15.4
L39,21,173,0,0,8.2
L4,12,5,0,0,0.4
L40,22,117,0,0,5.3
L5,8,12,0,0,1.5
L6,7,0,0,0,0
L69,1,,,,0
L7,9,,,,0
L8,17,30,0,0,1.8
L9,11,,,,0
LA1,29,222,30,60,7.7
LA10,5,22,0,0,4.4
LA11,13,62,0,0,4.8
LA12,16,97,0,0,6.1
LA13,13,18,0,0,1.4
LA14,27,203,0,0,7.5
LA15,6,9,0,0,1.5
LA16,2,,,,0
LA17,2,12,0,0,6
LA18,7,18,0,0,2.6
LA19,1,,,,0
LA2,24,62,8,0,2.6
LA20,2,25,0,0,12.5
LA21,2,,,,0
LA22,4,9,0,0,2.3
LA23,6,77,0,0,12.8
LA3,13,60,0,0,4.6
LA4,11,292,0,0,26.5
LA5,17,170,0,0,10
LA6,14,31,0,0,2.2
LA7,5,50,0,0,10
LA8,10,36,0,0,3.6
LA9,19,76,0,0,4
LE1,3,,,,0
LE10,17,0,0,0,0
LE11,28,48,0,0,1.7
LE12,33,133,0,0,4
LE13,9,22,0,0,2.4
LE14,14,,,,0
LE15,36,149,17,0,4.1
LE16,24,154,35,0,6.4
LE17,15,36,0,0,2.4
LE18,13,22,0,0,1.7
LE19,8,65,0,0,8.1
LE2,42,158,0,0,3.8
LE3,36,286,0,0,7.9
LE4,45,155,0,0,3.4
LE5,44,79,0,0,1.8
LE6,5,25,0,0,5
LE65,10,11,0,0,1.1
LE67,28,7,0,0,0.3
LE7,23,61,0,0,2.7
LE8,12,,,,0
LE9,25,21,0,0,0.8
LN1,17,101,0,0,5.9
LN10,5,20,0,0,4
LN11,18,,,,0
LN12,4,,,,0
LN13,6,,,,0
LN2,23,154,0,38,6.7
LN3,7,35,0,0,5
LN4,26,127,0,0,4.9
LN5,23,97,0,24,4.2
LN6,42,211,0,0,5
LN7,6,35,0,0,5.8
LN8,13,40,0,0,3.1
LN9,7,9,0,0,1.3
LS10,23,377,0,103,16.4
LS11,17,26,0,75,1.5
LS12,15,54,0,97,3.6
LS13,13,53,0,0,4.1
LS14,14,103,0,56,7.4
LS15,12,90,0,72,7.5
LS16,20,275,0,74,13.8
LS17,25,405,110,21,16.2
LS18,6,92,0,1,15.3
LS19,8,87,0,0,10.9
LS2,2,60,0,9,30
LS20,3,45,0,0,15
LS21,10,114,0,5,11.4
LS22,7,56,0,0,8
LS23,7,52,0,0,7.4
LS24,8,0,0,0,0
LS25,22,151,0,30,6.9
LS26,11,122,0,49,11.1
LS27,14,168,0,53,12
LS28,17,177,0,138,10.4
LS29,16,30,0,0,1.9
LS3,1,,,,0
LS4,6,57,0,13,9.5
LS5,2,,,,0
