"ID","LDV","COURIER LDV","MITT","DEST","QTY","KG TAX","DATA","PRICE","VIEW"
"16067","1627917429_SKY1185","WS15615216","VAN BERKEL INTERNATIONAL S.r.L.","CRAB di Antonino Argento","1","1","02/08/2021 - 17:17:09","€ 7.70",""
"15336","1624003798_SKY942","AS77358220","CRAB di Antonino Argento","Mole Abrasive Beretta","1","2","18/06/2021 - 10:09:57","€ 14.41",""
"14047","1617376491_SKY1185","RL39288170","CRAB di Antonino Argento","NOAW srl","1","48","02/04/2021 - 17:14:51","€ 19.88",""
"13803","1616243629_SKY1185","MY38974033","CRAB di Antonino Argento","NOAW srl","1","53.33","20/03/2021 - 13:33:49","€ 27.58",""
"13498","1614608830_SKY1185","RL38179249","CRAB di Antonino Argento","Argento Carmine","1","10.58","01/03/2021 - 15:27:09","€ 14.75",""
