Node,"No delivery due to covid","L1 and L2 places attended - 2019/20","No. of Instructors","Level 3 Places Attended (2018/19)","Levels 1 and 2 Places Attended (2018/19)","L3 places attended - 2019/20","Number of schools","Level 3 Places Attended (2020/21)","% schools that booked Bikeability","Plus Places Attended (2020/21)","Levels 1 and 2 places attended (2020/21)"
BD6,,30,0,0,0,0,10,0,10,0,25
BD7,,368,0,0,99,0,12,0,42,44,98
BD8,,340,1,0,190,27,13,3,31,0,91
BD9,,175,2,17,197,0,16,26,19,0,28
BD10,,128,1,0,9,0,9,0,33,0,106
BD11,,86,2,0,45,0,13,0,38,0,12
BD12,,53,0,0,48,0,11,0,18,0,77
BD13,,117,3,6,216,4,16,6,44,24,168
BD14,,9,0,0,24,0,15,0,13,0,12
BD15,YES,39,1,0,90,0,12,0,17,0,0
BD16,,238,4,0,154,0,18,35,44,0,154
BD17,YES,84,0,0,152,0,6,0,33,0,0
BD18,,170,1,0,32,0,26,0,23,15,192
BD19,,132,2,0,0,24,13,36,31,24,158
BD20,,100,0,0,96,0,3,0,0,0,0
BD21,,138,1,0,113,0,12,0,50,60,36
BD22,YES,145,0,0,109,0,7,0,43,0,0
BD23,,209,0,0,204,0,12,0,25,0,57
BD24,YES,6,2,0,26,0,14,0,7,0,0
BH1,,0,0,0,0,0,3,0,0,0,0
BH2,,12,1,0,12,0,5,0,20,0,31
BH3,,25,0,0,0,0,1,0,100,0,30
BH4,,0,0,0,0,0,1,0,0,0,0
BH5,YES,41,1,0,52,0,12,0,8,0,0
BH6,,92,0,0,48,0,2,0,50,0,23
BH7,,41,0,0,0,0,4,0,0,0,0
BH8,,0,1,0,0,0,9,0,0,0,0
BH9,,121,1,36,108,16,16,0,69,0,109
BH10,YES,41,0,0,9,40,10,0,50,0,0
BH11,,0,0,0,0,0,6,0,0,0,0
BH12,,0,1,0,42,0,4,0,50,0,42
BH13,,0,0,0,0,0,1,0,0,0,0
BH14,,52,0,0,47,0,1,0,0,0,0
BH15,,92,0,0,111,0,10,0,60,0,39
BH16,,15,1,0,0,0,6,0,50,0,26
BH17,,99,2,18,83,17,25,0,4,0,7
BH18,,231,1,0,58,0,21,0,14,0,77
BH19,,128,1,0,45,0,7,0,0,0,0
BH20,,42,0,0,36,0,3,0,67,0,54
BH21,,51,2,0,68,4,8,0,13,0,29
BH22,,82,0,15,58,0,13,9,23,14,22
BH23,,235,0,63,227,57,10,0,50,100,29
BH24,,249,1,49,184,0,12,0,42,0,97
BH25,,229,1,0,206,0,27,0,26,0,94
BH31,,0,0,0,0,0,4,0,0,0,0
BL0,YES,331,2,0,289,0,9,0,56,0,0
BL1,,457,2,30,450,78,37,30,24,54,157
BL2,,145,1,0,230,0,12,0,17,0,96
BL3,,292,10,43,301,34,14,0,57,0,60
BL4,,366,1,0,286,14,19,0,32,37,65
BL5,,119,3,0,221,0,24,0,46,0,104
BL6,,138,1,0,149,0,13,0,15,12,58
BL7,,111,0,0,194,0,12,0,25,0,52
BL8,,72,0,0,120,0,8,0,38,0,59
BL9,,200,2,34,173,0,20,0,0,0,0
BN1,,141,0,0,408,12,21,0,29,0,41
BN2,YES,172,4,0,156,0,6,0,50,0,0
BN3,,449,4,0,584,0,22,0,64,0,150
BN5,,0,0,0,0,0,1,0,100,0,31
BN6,,156,0,0,152,0,9,0,22,0,21
BN7,,258,5,11,287,0,13,0,38,0,115
BN8,,30,1,0,141,0,6,0,17,0,25
BN9,,60,0,0,67,0,12,0,25,0,53
BN10,,43,1,0,82,0,9,0,11,0,20
BN11,,51,1,0,64,0,7,0,0,0,0
BN12,YES,102,3,0,83,0,12,0,33,0,0
BN13,,0,2,0,0,0,8,0,13,0,3
BN14,,106,2,8,87,10,13,18,15,0,88
BN15,YES,204,1,21,0,28,15,0,13,0,0
BN16,,42,0,0,0,0,8,0,13,0,60
BN17,,290,2,0,124,42,22,60,5,60,120
BN18,,0,1,0,0,0,9,0,33,0,68
BN20,,0,3,0,0,0,0,0,0,0,0
BN21,,0,0,0,0,0,1,0,0,0,0
