Node,"Residential Homes Average Weekly Rate","Supported Living Average Weekly Rate","Supported Living Average Hourly Rate","Supported Living Average Hourly/Weekly Rate","Day Services Average Weekly Rate","Day Services Average Day Rate","Day Services Average Day/Weekly Rate","Domiciliary Care Average Hourly Rate","Residential Homes Uplift 2018/19","Residential Homes Uplift 2019/20","Residential Homes Uplift 2020/21","Residential Homes Uplift 2021/22","Residential Homes Uplift 2022/23","Supported Living Uplift 2018/19","Supported Living Uplift 2019/20","Supported Living Uplift 2020/21","Supported Living Uplift 2021/22","Supported Living Uplift 2022/23","Day Services Uplift 2018/19","Day Services Uplift 2019/20","Day Services Uplift 2020/21","Day Services Uplift 2021/22","Day Services Uplift 2022/23","Domiciliary Care Uplift 2018/19","Domiciliary Care Uplift 2019/20","Domiciliary Care Uplift 2020/21","Domiciliary Care Uplift 2021/22","Domiciliary Care Uplift 2022/23","London Living Wage","NI, tax, pensions, leave and sickness (LLW)","Training and management","Apportioned core costs (finance, HR, recruitment, leadership and head office costs)","National Living Wage","NI, tax, pensions, leave and sickness (NLW)","Real Living Wage 2023/24","NI, tax, pensions, leave and sickness (RLW)","NHS Band 3 inc allowances hourly rate","NI, tax, pensions, leave and sickness (Band 3 incl allowances)",English/Welsh,England/Wales,"RH Av Country","SL Weekly Av Country","SL Hourly Av Country","DS Weekly Av Country","DS Day Av Country","DC Av Country"
Sefton,728.82,426.13,,426.13,112.5,,112.5,19.23,4.03,4.28,4.56,2.03,7.18,4.87,5,5.39,2.03,7.71,0,0,3.99,2.74,7.71,4.84,4.55,5.8,2.74,7.25,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Wirral,532,,17.06,17.06,,50,50,17.61,3.69,4.67,2.76,3.72,5.98,3.32,7.14,3.67,2.19,7.36,0,2.99,3.62,3.01,9.87,7.25,5.41,4.55,2.02,5.83,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Barnsley,1453.33,,18.42,18.42,,,,13.28,3,3.59,3,5,6.8,3,3.43,13.4,2.23,9,N/a,N/a,N/a,N/a,N/a,3,3.43,13.4,2.23,9,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Doncaster,1151.84,,17.75,17.75,,,,19.54,N/a,N/a,N/a,N/a,N/a,0.16,3.73,6.3,5.36,7.23,N/a,N/a,N/a,N/a,N/a,4.58,5.67,4.88,7.91,5.28,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Sheffield,1891,,19.05,19.05,272,,272,19.05,0,0,3,1.9,3.13,3.95,4.24,5.54,4.99,3.14,0,0,0,4.89,3.13,3.95,4.24,5.54,4.99,3.14,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
"Newcastle upon Tyne",1787.41,,17.9,17.9,282.95,,282.95,17.9,5,4.5,6,2.5,6.42,5,4.5,6,2,6.77,5,4.5,6,2,6.77,5,4.5,6,2,6.77,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
"North Tyneside",,,16.95,16.95,,,,19.07,N/a,N/a,N/a,N/a,N/a,3.73,4.03,5,2,7.48,3.6,3.94,5,2,7.58,3.6,6,5,2,11.18,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Sunderland,3401,,,,,,,22.75,"Individual basis","Individual basis","Individual basis","Individual basis","Individual basis",N/a,N/a,N/a,N/a,N/a,"Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis",11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Birmingham,865.71,,15.97,15.97,,,,16.43,N/a,3.6,3.67,2.04,N/a,N/a,4.2,4.58,2.03,N/a,0,0,0,2,N/a,"Dynamic market led pricing",N/a,4.48,2.03,N/a,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Coventry,1756,,16.4,16.4,,,,,0,0,0,1.5,5.5,0,0,0,1.6,5.5,0,0,0,1.6,5.5,"Pence per hour: 33p","Pence per hour:47p","Pence per hour: 53p","Pence per hour: 25p","Pence per hour: 95p",11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Dudley,1409.99,,15.64,15.64,,,,16.14,2,2,2,3,3.5,2,2,2,3,3.5,N/a,N/a,N/a,N/a,N/a,2,2,2,3,3.5,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
