Node,"Residential Homes Average Weekly Rate","Supported Living Average Weekly Rate","Supported Living Average Hourly Rate","Supported Living Average Hourly/Weekly Rate","Day Services Average Weekly Rate","Day Services Average Day Rate","Day Services Average Day/Weekly Rate","Domiciliary Care Average Hourly Rate","Residential Homes Uplift 2018/19","Residential Homes Uplift 2019/20","Residential Homes Uplift 2020/21","Residential Homes Uplift 2021/22","Residential Homes Uplift 2022/23","Supported Living Uplift 2018/19","Supported Living Uplift 2019/20","Supported Living Uplift 2020/21","Supported Living Uplift 2021/22","Supported Living Uplift 2022/23","Day Services Uplift 2018/19","Day Services Uplift 2019/20","Day Services Uplift 2020/21","Day Services Uplift 2021/22","Day Services Uplift 2022/23","Domiciliary Care Uplift 2018/19","Domiciliary Care Uplift 2019/20","Domiciliary Care Uplift 2020/21","Domiciliary Care Uplift 2021/22","Domiciliary Care Uplift 2022/23","London Living Wage","NI, tax, pensions, leave and sickness (LLW)","Training and management","Apportioned core costs (finance, HR, recruitment, leadership and head office costs)","National Living Wage","NI, tax, pensions, leave and sickness (NLW)","Real Living Wage 2023/24","NI, tax, pensions, leave and sickness (RLW)","NHS Band 3 inc allowances hourly rate","NI, tax, pensions, leave and sickness (Band 3 incl allowances)",English/Welsh,England/Wales,"RH Av Country","SL Weekly Av Country","SL Hourly Av Country","DS Weekly Av Country","DS Day Av Country","DC Av Country"
Cambridgeshire,2010,1292,,1292,184,,184,,N/a,4.77,3.27,2.24,3.3,N/a,4.77,2.65,2.38,3.3,"Information not held","Information not held","Information not held",2,3.3,N/a,"Based on CPI","Based on CPI",5,"Pence per hour: 70p",11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Cumbria,1690.07,,17.6,17.6,,,,19.28,2,2,2,2,9.7,3.55,2.72,2.84,1.66,7,2.4,4.12,4.86,4.86,7,3.55,2.72,2.93,1.74,6.68,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Derbyshire,,,17.51,17.51,,,,,4.68,4.8,4.75,2.53,6.1,4.5,4.5,4.8,2.29,6,4.68,4,4.75,2.53,6.1,4.8,4.24,4.8,2.29,6,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Devon,1351,406.14,,406.14,,,,23.46,3.88,3.78,4.21,2.21,6.01,3,4.22,3.73,1.72,6.66,2.5,3.22,3.73,1.72,6.66,3,4.22,3.73,1.72,6.66,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Essex,1893.55,,17.24,17.24,,76.55,76.55,20.66,2,1,3,2,6.34,2,0,5,2,6.2,N/a,N/a,N/a,N/a,N/a,2.5,4.1,8.4,8.9,8,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Gloucestershire,1621.66,,45.71,45.71,,62.61,62.61,24.13,3.85,3.92,3.58,3.67,5.09,2.86,3.88,3.25,3.61,5.16,2.86,3.88,3.25,3.61,5.16,2.86,3.88,3.25,3.61,5.16,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Hampshire,1630,,18.45,18.45,140,,140,20,2.95,2.32,2.44,2.88,4.33,11.13,3.96,4.44,3.24,3.42,12.49,3.59,4.23,3.24,2.83,7.18,4.35,4,4.01,6.21,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Hertfordshire,1851.71,,19.06,19.06,,,,23.9,1,1,2,2,6.39,1,1,2,4.02,6.77,1,1.13,4.54,2,2.5,3.32,3.86,15.07,1.93,6.45,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Kent,2152.84,800.62,,800.62,110.61,,110.61,21.36,3.26,2.82,3.84,2.25,3,2.67,2.69,3.09,2.25,3,2.5,2.2,1.7,1,0,2.2,2.44,3.09,2.25,3,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Lancashire,654.6,,17.65,17.65,,,,,"Information not held",4.01,4.89,3.55,5.72,"Information not held","Information not held",5.67,3.75,6.07,"Information not held",3.92,4.81,3.45,5.77,"Information not held",4.53,4.88,4.06,4.1,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Leicestershire,1396,,17.5,17.5,238,,238,20.36,"Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held",11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Lincolnshire,1151,,17.6,17.6,236,,236,,2.5,2.5,2.9,2.2,4,5.28,4.3,3.19,2.42,4,N/a,0,7.3,2.4,4,N/a ,N/a ,N/a ,N/a ,N/a ,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Norfolk,1556.12,,18.19,18.19,,,,21,4.11,3.79,4.4,2.77,6,4.06,3.6,3.63,2.98,6,3,3,3.99,2.99,6,4.24,4.83,4.61,3.14,6,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
"North Yorkshire",646.89,,19,19,,,,21.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Nottinghamshire,1618.88,,18.54,18.54,,,,20.83,2.9,3.4,4.66,1.66,5.99,3.25,3.8,4.66,1.56,5.58,3.27,3.49,4.64,1.65,5.85,3.25,3.8,4.66,1.56,5.58,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Oxfordshire,1950.72,754.55,,754.55,183.93,,183.93,51.71,3.5,"Uplifted to new band",3,2,6,2,3.83,0,2,6,0,0,4,2,6,0,0,0,2,6,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Somerset,1940.52,,17.04,17.04,,68.47,68.47,21.2,0,0,4,2.5,5.3,0,2,4,3.2,5.3,0,0,4,3,5,0,2,4,3.2,9,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Staffordshire,1648.06,831.35,,831.35,,109.12,109.12,19.85,1,2.79,2.79,1.79,6.24,0,0,0,0,6.24,N/a,N/a,N/a,N/a,6.24,0,0,0,0,0,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Suffolk,899.89,,16.74,16.74,,,,21.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Surrey,1741,1166,,1166,252,,252,18.54,2,1,3,2,5.4,3.1,1,3,4,6.1,1,1,2,2.5,5.8,1,2,3,4,5.8,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Warwickshire,1395.04,,20.89,20.89,,44.08,44.08,18.71,1.1,3.4,3.8,2,6,1.1,4,4,2,6,1.1,3.4,1.9,2,6,N/a,N/a,N/a,2,6,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
"West Sussex",,,19.81,19.81,,,,,3.8,4,0,1.75,5,4.05,4.15,4,1.75,8,3.5,3,0,1.75,5,N/a,N/a,N/a,N/a,N/a,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Worcestershire,1890.19,811.76,17.33,811.76,,,,20.11,"Individual basis",2.5,1,0.95,1,2.11,4.53,4.88,0,4.05,"Individual basis","Individual basis","Individual basis","Individual basis","Individual basis",4.44,4.53,4.88,0,15.91,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
"Isle of Anglesey",1683.02,,17.07,17.07,,,,19.29,n/a,3.73,3.84,3.47,6.85,N/a,4.07,1.62,6.11,7.2,n/a,n/a,n/a,n/a,n/a,N/a,2.89,2.93,1.3,5.21,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,Welsh,Wales,1737.96,1391.59,18.74,435.82,58.23,20.44
Gwynedd,2270,,19.69,19.69,,,,19.69,3.1,3.5,3.04,3.39,3.52,4.2,3.77,4.05,4.4,4.57,4.2,3.77,4.05,4.4,4.57,4.2,4.23,4.05,4.4,4.57,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,Welsh,Wales,1737.96,1391.59,18.74,435.82,58.23,20.44
Flintshire,646.52,,,,,55,55,20.13,2.94,3.66,3.77,4.04,6.51,N/a,N/a,N/a,N/a,N/a,0,0,0,0,5.77,3.64,3.73,3.85,3.61,7.84,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,Welsh,Wales,1737.96,1391.59,18.74,435.82,58.23,20.44
Wrexham,1290.65,,18.03,18.03,,61.45,61.45,18.05,3.45,3.78,3.91,4.14,6.4,4,10,3,2,8,4,10,3,2,8,4,10,3,2,8,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,Welsh,Wales,1737.96,1391.59,18.74,435.82,58.23,20.44
Ceredigion,1619.68,,18.31,18.31,,,,22.09,3.5,3.5,4.25,3,9.13,N/a,3.5,4.25,3.5,8.87,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.25,2.2,8.87,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,Welsh,Wales,1737.96,1391.59,18.74,435.82,58.23,20.44
"Neath Port Talbot",2511.82,1579.22,,1579.22,616.27,,616.27,,3,2,3,4,11,3,2,3,7,2,3,2,3,4,11,3,2,3,7,2,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,Welsh,Wales,1737.96,1391.59,18.74,435.82,58.23,20.44
Caerphilly,1595,1646.13,,1646.13,255.37,,255.37,22.32,2,2.4,2.2,3.5,10,2,2.4,2.2,3.5,10,2,2.4,1.7,3.5,10,2,4,3,3.5,15,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,Welsh,Wales,1737.96,1391.59,18.74,435.82,58.23,20.44
Monmouthshire,,,20.58,20.58,,,,20.58,3.6,4,4.5,4,8.1,3,4,4,3.75,8.72,N/a,4.39,N/a,4,4,4,6.1,4,6,19,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,Welsh,Wales,1737.96,1391.59,18.74,435.82,58.23,20.44
Newport,2485,1236,,1236,,,,20,3,3,3,4,7,3,3,3,4,7,2,2,3,3,7,3,3,3,3,9,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,Welsh,Wales,1737.96,1391.59,18.74,435.82,58.23,20.44
"Merthyr Tydfil",1540,1105,,,,,,21.79,2.75,3.03,1.39,1.53,22.93,N/a,N/a,5.6,3.85,10.2,0,3,4.85,5,0,N/a,3.49,3.04,1.96,9.5,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,Welsh,Wales,1737.96,1391.59,18.74,435.82,58.23,20.44
