Row Labels,Number of schools,% schools booked that booked Bikeability,Sum of Levels 1 and 2 places attended (2020),Sum of Level 3 Places Attended (2020),Sum of Plus Places Attended (2020),No Delivery due to Covid
LU1,24,8,84,0,0,
SS2,13,8,0,0,149,
BN22,13,8,29,0,16,
B20,13,8,0,0,0,Yes
HU12,13,8,0,0,0,Yes
NG23,13,8,0,0,0,Yes
SO18,13,8,0,0,0,Yes
YO11,13,8,0,0,0,Yes
B70,13,8,30,0,0,
CT2,13,8,24,0,0,
DL7,13,8,38,12,0,
L4,13,8,5,0,0,
M32,13,8,56,0,0,
NR13,13,8,24,0,0,
RG9,13,8,17,0,0,
S9,13,8,60,0,0,
WA10,13,8,19,0,0,
TS5,12,8,2,0,2,
BD2,12,8,0,0,0,Yes
BS3,12,8,0,0,0,Yes
CV12,12,8,0,0,0,Yes
DY3,12,8,0,0,0,Yes
GU15,12,8,0,0,0,Yes
MK14,12,8,0,0,0,Yes
YO24,12,8,0,0,0,Yes
DA2,12,8,51,0,0,
DT4,12,8,7,0,0,
GU10,12,8,32,0,0,
L20,12,8,45,0,0,
PE31,12,8,9,0,0,
S62,12,8,20,0,0,
TN2,12,8,64,0,0,
WF5,12,8,28,0,0,
LE67,30,7,7,0,0,
SL1,29,7,36,0,0,
MK6,15,7,0,0,0,Yes
BA21,15,7,42,0,0,
CH63,15,7,66,0,0,
CV1,15,7,25,0,0,
DT2,15,7,7,4,0,
LE18,15,7,22,0,0,
SN2,15,7,23,0,0,
ST19,14,7,48,60,60,
HA6,14,7,0,0,0,Yes
NR11,14,7,0,0,0,Yes
SS0,14,7,0,0,0,Yes
YO21,14,7,0,0,0,Yes
PO20,14,7,14,0,0,
SK5,14,7,30,0,0,
TN15,14,7,13,0,0,
BA2,35,6,24,0,0,
S63,18,6,0,0,46,
S2,18,6,48,0,4,
B15,18,6,0,0,0,Yes
IP1,18,6,0,0,0,Yes
ME15,18,6,0,0,0,Yes
ME1,18,6,31,0,0,
S60,18,6,26,0,0,
TS17,18,6,71,0,0,
WA15,18,6,18,0,0,
WF9,18,6,28,0,0,
DL1,17,6,0,0,29,
BS5,17,6,0,0,0,Yes
CH49,17,6,0,44,0,
ME16,17,6,15,0,0,
NR12,17,6,28,0,0,
NR32,17,6,9,0,0,
B21,16,6,0,0,0,Yes
B33,16,6,0,0,0,Yes
CT19,16,6,0,20,0,
DT9,16,6,12,0,0,
ME4,16,6,16,0,0,
S6,16,6,44,0,0,
WA14,16,6,50,0,0,
LE5,42,5,79,0,0,
WV6,22,5,120,60,60,
B13,22,5,0,0,0,Yes
WV14,22,5,0,0,0,Yes
PE30,21,5,0,0,0,Yes
WA9,21,5,33,0,0,
BD8,20,5,127,0,24,
LE10,20,5,0,0,0,Yes
S65,20,5,0,0,0,Yes
L23,20,5,22,22,0,
OL4,19,5,0,0,30,
B11,19,5,0,0,0,Yes
HG4,19,5,0,0,0,Yes
PE21,19,5,40,0,0,
LE9,26,4,21,0,0,
OX14,25,4,7,0,0,
M33,24,4,22,0,0,
SL2,23,4,0,0,0,Yes
CV6,32,3,49,0,0,
SL4,30,3,23,0,0,
CR0,58,0,0,0,0,
N16,42,0,0,0,0,
E1,41,0,0,0,0,
E17,39,0,0,0,0,
N1,38,0,0,0,0,
NW3,38,0,0,0,0,
M7,34,0,0,0,0,
NW10,32,0,0,0,0,
SW19,31,0,0,0,0,
E14,30,0,0,0,0,
SE9,29,0,0,0,0,
NW6,28,0,0,0,0,
SE15,28,0,0,0,0,
N17,27,0,0,0,0,
