constituency_name,MP,Category,result,majority,con
Hackney South and Shoreditch,,,Lab hold,33985,5899
Halifax,,,Lab hold,2569,18927
Halton,,,Lab hold,18975,10358
Hammersmith,,,Lab hold,17847,12227
Hampstead and Kilburn,,,Lab hold,14188,13892
Harrow West,,,Lab hold,8692,16440
,,,,,
Hayes and Harlington,,,Lab hold,9261,15284
Hemsworth,,,Lab hold,1180,15280
Holborn and St Pancras,,,Lab hold,27763,8878
Hornsey and Wood Green,,,Lab hold,19242,6829
Houghton and Sunderland South,,,Lab hold,3115,13095
Hove,,,Lab hold,17044,15832
Huddersfield,,,Lab hold,4937,15572
Ilford North,,,Lab hold,5218,20105
Ilford South,,,Lab hold,24101,10984
Islington North,,,Lab hold,26188,5483
Islington South and Finsbury,,,Lab hold,17328,8045
Islwyn,,,Lab hold,5464,9892
Jarrow,,,Lab hold,7120,11243
Kingston upon Hull East,,,Lab hold,1239,11474
Kingston upon Hull North,,,Lab hold,7593,9440
Kingston upon Hull West and Hessle,,,Lab hold,2856,10528
Knowsley,,,Lab hold,39942,4432
Lancaster and Fleetwood,,,Lab hold,2380,18804
Leeds Central,,,Lab hold,19270,11143
Leeds East,,,Lab hold,5531,13933
Leeds North East,,,Lab hold,17089,11935
Leeds North West,,,Lab hold,10749,13222
Leeds West,,,Lab hold,10564,11622
Leicester East,,,Lab hold,6019,19071
Leicester South,,,Lab hold,22675,10931
Leicester West,,,Lab hold,4212,13079
"Lewisham, Deptford",,,Lab hold,32913,6303
Lewisham East,,,Lab hold,17008,9653
Lewisham West and Penge,,,Lab hold,21543,10317
Leyton and Wanstead,,,Lab hold,20808,8028
"Liverpool, Riverside",,,Lab hold,37043,4127
"Liverpool, Walton",,,Lab hold,30520,4018
"Liverpool, Wavertree",,,Lab hold,27085,4225
"Liverpool, West Derby",,,Lab hold,29984,4133
Llanelli,,,Lab hold,4670,11455
Luton North,,,Lab hold,9247,14249
Luton South,,,Lab hold,8756,13031
Makerfield,,,Lab hold,4740,15214
Manchester Central,,,Lab hold,29089,7734
"Manchester, Gorton",,,Lab hold,30339,4244
"Manchester, Withington",,,Lab hold,27905,5820
Merthyr Tydfil and Rhymney,,,Lab hold,10606,6307
Middlesbrough,,,Lab hold,8395,8812
Mitcham and Morden,,,Lab hold,16482,11482
Neath,,,Lab hold,5637,10283
Newcastle Upon Tyne Central,,,Lab hold,12278,9290
Newcastle Upon Tyne East,,,Lab hold,15463,10586
Newcastle Upon Tyne North,,,Lab hold,5765,15589
Newport East,,,Lab hold,1992,14133
Newport West,,,Lab hold,902,18075
"Normanton, Pontefract and Castleford",,,Lab hold,1276,17021
North Durham,,,Lab hold,4742,13897
North Tyneside,,,Lab hold,9561,15490
Norwich South,,,Lab hold,12760,15006
Nottingham East,,,Lab hold,17393,8342
Nottingham North,,,Lab hold,4490,12847
Nottingham South,,,Lab hold,12568,14018
Ogmore,,,Lab hold,7805,9797
Oldham East and Saddleworth,,,Lab hold,1499,18589
Oldham West and Royton,,,Lab hold,11127,13452
Oxford East,,,Lab hold,17832,10303
"Plymouth, Sutton and Devonport",,,Lab hold,4757,20704
Pontypridd,,,Lab hold,5887,11494
Poplar and Limehouse,,,Lab hold,28904,9756
Portsmouth South,,,Lab hold,5363,17705
Preston,,,Lab hold,12146,8724
Putney,,,Lab gain from Con,4774,18006
Reading East,,,Lab hold,5924,21178
Rhondda,,,Lab hold,11440,4675
Rochdale,,,Lab hold,9668,14807
Rotherham,,,Lab hold,3121,11615
Salford and Eccles,,,Lab hold,16327,12428
Sefton Central,,,Lab hold,15122,14132
"Sheffield, Brightside and Hillsborough",,,Lab hold,12274,10095
Sheffield Central,,,Lab hold,27273,6695
"Sheffield, Hallam",,,Lab hold,712,14696
"Sheffield, Heeley",,,Lab hold,8520,12955
Sheffield South East,,,Lab hold,4289,15070
Slough,,,Lab hold,13640,15781
"Southampton, Test",,,Lab hold,6213,16043
South Shields,,,Lab hold,9585,7688
Stalybridge and Hyde,,,Lab hold,2946,16079
St Helens North,,,Lab hold,12209,12661
St Helens South and Whiston,,,Lab hold,19122,10335
Stockport,,,Lab hold,10039,11656
Stockton North,,,Lab hold,1027,16701
Streatham,,,Lab hold,17690,9060
Stretford and Urmston,,,Lab hold,16417,13778
Sunderland Central,,,Lab hold,2964,15372
Swansea East,,,Lab hold,7970,9435
Swansea West,,,Lab hold,8116,10377
Tooting,,,Lab hold,14307,16504
Torfaen,,,Lab hold,3742,11804
Tottenham,,,Lab hold,30175,5446
Tynemouth,,,Lab hold,4857,22071
Vauxhall,,,Lab hold,19612,9422
Wallasey,,,Lab hold,18322,11579
Walsall South,,,Lab hold,3456,17416
Walthamstow,,,Lab hold,30862,5922
Wansbeck,,,Lab hold,814,16310
Warley,,,Lab hold,11511,10390
Warrington North,,,Lab hold,1509,19102
Warwick and Leamington,,,Lab hold,789,22929
Washington and Sunderland West,,,Lab hold,3723,12218
Weaver Vale,,,Lab hold,562,22210
Wentworth and Dearne,,,Lab hold,2165,14577
West Ham,,,Lab hold,32388,9793
West Lancashire,,,Lab hold,8336,19122
Westminster North,,,Lab hold,10759,12481
Wigan,,,Lab hold,6728,14314
Wirral South,,,Lab hold,6105,16179
Wirral West,,,Lab hold,3003,17692
Wolverhampton South East,,,Lab hold,1235,14287
Worsley and Eccles South,,,Lab hold,3219,17227
Wythenshawe and Sale East,,,Lab hold,10396,13459
York Central,,,Lab hold,13545,13767
Bath,,,LD hold,12322,16097
"Caithness, Sutherland and Easter Ross",,,LD hold,204,5176
Edinburgh West,,,LD hold,3769,9283
Kingston and Surbiton,,,LD hold,10489,20614
North East Fife,,,LD gain from SNP,1316,5961
Orkney and Shetland,,,LD hold,2507,2287
Oxford West and Abingdon,,,LD hold,8943,22397
Richmond Park,,,LD gain from Con,7766,26793
St Albans,,,LD gain from Con,6293,22574
Twickenham,,,LD hold,14121,22045
Westmorland and Lonsdale,,,LD hold,1934,23861
Arfon,,,PC hold,2781,4428
Carmarthen East and Dinefwr,,,PC hold,1809,14130
Ceredigion,,,PC hold,6329,8879
Dwyfor Meirionnydd,,,PC hold,4740,9707
Belfast South,,,SDLP gain from DUP,15401,0
Foyle,,,SDLP gain from SF,17110,0
Belfast North,,,SF gain from DUP,1943,0
Belfast West,,,SF hold,14672,0
Fermanagh and South Tyrone,,,SF hold,57,0
Mid Ulster,,,SF hold,9537,0
Newry and Armagh,,,SF hold,9287,0
South Down,,,SF hold,1620,0
West Tyrone,,,SF hold,7478,0
Aberdeen North,,,SNP hold,12670,7535
Aberdeen South,,,SNP gain from Con,3990,16398
Airdrie and Shotts,,,SNP hold,5201,7011
Angus,,,SNP gain from Con,3795,17421
Argyll and Bute,,,SNP hold,4110,16930
"Ayr, Carrick and Cumnock",,,SNP gain from Con,2329,17943
Central Ayrshire,,,SNP hold,5304,16182
"Coatbridge, Chryston and Bellshill",,,SNP gain from Lab,5624,6113
"Cumbernauld, Kilsyth and Kirkintilloch East",,,SNP hold,12976,7380
Dundee East,,,SNP hold,13375,10986
Dundee West,,,SNP hold,12259,5149
Dunfermline and West Fife,,,SNP hold,10699,11207
East Dunbartonshire,,,SNP gain from LD,149,7455
"East Kilbride, Strathaven and Lesmahagow",,,SNP hold,13322,11961
East Lothian,,,SNP gain from Lab,3886,15523
East Renfrewshire,,,SNP gain from Con,5426,19451
Edinburgh East,,,SNP hold,10417,6549
Edinburgh North and Leith,,,SNP hold,12808,11000
Edinburgh South West,,,SNP hold,11982,12848
Falkirk,,,SNP hold,14948,14403
Glasgow Central,,,SNP hold,6474,3698
Glasgow East,,,SNP hold,5566,5709
Glasgow North,,,SNP hold,5601,3806
Glasgow North East,,,SNP gain from Lab Coop,2548,3558
Glasgow North West,,,SNP hold,8359,6022
Glasgow South,,,SNP hold,9005,6237
Glasgow South West,,,SNP hold,4900,4224
Glenrothes,,,SNP hold,11757,6920
Gordon,,,SNP gain from Con,819,23066
Inverclyde,,,SNP hold,7512,6265
"Inverness, Nairn, Badenoch and Strathspey",,,SNP hold,10440,15807
Kilmarnock and Loudoun,,,SNP hold,12659,11557
Kirkcaldy and Cowdenbeath,,,SNP gain from Lab,1243,9449
Lanark and Hamilton East,,,SNP hold,5187,17056
Linlithgow and East Falkirk,,,SNP hold,11266,14285
Livingston,,,SNP hold,13435,12182
Midlothian,,,SNP gain from Lab,5705,10467
Motherwell and Wishaw,,,SNP hold,6268,7150
Na h-Eileanan An Iar,,,SNP hold,2438,3216
North Ayrshire and Arran,,,SNP hold,8521,14855
Ochil and South Perthshire,,,SNP gain from Con,4498,22384
Paisley and Renfrewshire North,,,SNP hold,11902,11217
Paisley and Renfrewshire South,,,SNP hold,10679,7571
Perth and North Perthshire,,,SNP hold,7550,19812
"Ross, Skye and Lochaber",,,SNP hold,9443,6900
Rutherglen and Hamilton West,,,SNP gain from Lab Coop,5230,8054
Stirling,,,SNP gain from Con,9254,17641
West Dunbartonshire,,,SNP hold,9553,6436
Chorley,,,Spk gain from Lab,17392,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Wakefield,,,Con gain from Lab,3358,21283
Tiverton and Honiton,,,Con hold,24239,35893
North Shropshire,,,Con hold,22949,35444
Chesham and Amersham,,,Con hold,16223,30850
Delyn,,,Con gain from Lab,865,16756
Somerton and Frome,,,Con hold,19213,36230
Bury South,,,Con gain from Lab,402,22034
