Node,"Number Of Schools","L1 And L2 (Number Of Places Delivered 2020/21)","L3 (Number Of Places Delivered 2020/21 )","Plus (Number Of Places Delivered 2020/21)","Average L1 And L2 Places Per School"
AL1,0.9,26,23,0,0
AL2,10,28,0,0,2.8
AL3,9.6,27,260,0,0
AL4,16,156,0,0,9.8
AL5,7.9,28,222,0,0
AL6,8,45,19,0,5.6
AL7,2.3,15,35,0,0
AL8,12,92,0,0,7.7
AL9,0,9,0,0,0
AL10,15,88,18,0,5.9
B1,0,3,,,
B4,1,,,,0
B5,0,2,,,
B6,17,95,18,12,5.6
B7,1,12,12,0,0
B8,19,0,0,0,0
B9,0,13,0,0,0
B10,14,,,,0
B11,0,20,0,0,0
B12,17,98,0,32,5.8
B13,0,23,0,0,0
B14,22,103,16,12,4.7
B15,0,17,0,0,0
B16,7,,,,0
B17,0,11,0,0,0
B18,10,,,,0
B19,0,16,,,
B20,14,0,0,0,0
B21,0,17,0,0,0
B23,22,0,0,0,0
B24,7.4,13,96,0,23
B25,4,0,0,0,0
B26,0,11,,,
B27,8,,,,0
B28,2.2,13,29,0,4
B29,23,333,8,42,14.5
B30,9.7,15,146,0,0
B31,23,88,0,0,3.8
B32,0,17,0,0,0
B33,15,0,0,0,0
B34,0,7,0,0,0
B35,7,,,,0
B36,1.3,21,28,0,0
B37,17,180,0,0,10.6
B38,0,9,0,0,0
B42,9,0,0,0,0
B43,0,8,,,
B44,20,0,0,0,0
B45,7.8,22,171,0,10
B46,7,93,0,0,13.3
B47,0,3,0,0,0
B48,2,,,,0
B49,1.5,12,18,0,0
B50,2,30,0,0,15
B60,2.2,12,26,0,0
B61,13,0,0,0,0
B62,0,10,0,0,0
B63,13,0,0,0,0
B64,0,8,0,0,0
B65,9,24,0,0,2.7
B66,2.3,11,25,0,0
B67,10,42,0,0,4.2
B68,1.1,18,20,0,0
B69,15,57,0,0,3.8
B70,2.1,14,30,0,0
B71,14,33,0,0,2.4
B72,4.7,6,28,0,0
B73,9,30,0,34,3.3
B74,15.6,9,140,0,0
B75,12,0,0,0,0
B76,1.9,10,19,0,23
B77,28,112,19,31,4
B78,0,10,,,
B79,19,266,0,54,14
B80,0,5,,,
B90,22,190,0,0,8.6
B91,0,20,0,0,0
B92,20,68,0,0,3.4
B93,41.6,9,374,0,0
B94,6,14,0,0,2.3
B95,6.8,9,61,0,0
B96,3,,,,0
B97,0,10,,,
B98,22,0,0,0,0
BA1,1.8,16,29,0,0
BA2,37,24,0,0,0.6
BA3,5.2,29,150,0,0
BA4,13,42,0,0,3.2
BA5,6.2,19,117,0,0
BA6,12,64,0,0,5.3
BA7,0,3,,,
BA8,6,25,0,0,4.2
BA9,0,3,,,
BA10,5,6,0,0,1.2
BA11,1.1,22,24,0,0
BA12,21,68,0,0,3.2
BA13,0,10,0,0,0
BA14,33,104,0,0,3.2
BA15,2,6,12,0,0
BA16,10,43,0,0,4.3
BA20,12,6,72,0,0
BA21,16,42,0,0,2.6
BA22,3.7,13,48,0,0
BB1,32,117,0,30,3.7
BB2,10,42,422,33,32
BB3,20,135,0,0,6.8
BB4,1.6,37,60,0,0
BB5,42,219,30,90,5.2
BB6,9.9,8,79,7,0
BB7,25,43,0,179,1.7
BB8,1.9,17,32,0,0
BB9,29,0,0,0,0
BB10,10.9,30,327,71,192
BB11,23,358,25,87,15.6
BB12,19.7,40,787,99,216
BB18,10,0,0,0,0
BD1,0,1,,,
BD2,12,0,0,0,0
BD3,0,17,0,0,0
BD4,17,111,0,40,6.5
BD5,0,24,,,
BD6,11,25,0,0,2.3
BD7,0,8,,,
BD8,20,127,0,24,6.4
BD9,5.7,20,114,0,0
BD10,12,0,0,0,0
BD11,22,1,22,0,0
BD12,6,46,0,0,7.7
BD13,0,12,0,0,0
BD14,5,46,0,6,9.2
BD15,4.9,9,44,0,0
BD16,16,92,10,5,5.8
BD17,19.1,7,134,0,0
BD18,12,0,0,0,0
BD19,4.7,14,66,0,28
BD20,17,27,0,0,1.6
BD21,9.9,13,129,0,63
BD22,17,80,0,0,4.7
BD23,2.8,34,94,0,0
BD24,5,15,0,0,3
BH1,0,3,,,
BH2,3,,,,0
BH3,15,2,30,0,0
BH4,1,,,,0
BH5,0,5,0,0,0
BH6,5,12,0,0,2.4
BH7,0,4,,,
BH8,9,,,,0
BH9,3.8,10,38,0,0
BH10,8,0,0,0,0
BH11,0,9,0,0,0
BH12,16,12,0,0,0.8
BH13,0,1,,,
BH14,7,48,0,0,6.9
BH15,0.7,15,10,0,0
BH16,6,26,0,0,4.3
BH17,1.8,13,23,0,0
BH18,5,0,0,0,0
BH19,1.2,6,7,9,0
BH20,12,99,0,0,8.3
BH21,0.2,26,5,9,0
BH22,6,25,0,0,4.2
BH23,3.9,28,108,103,0
BH24,11,18,0,0,1.6
BH25,5,10,50,9,0
BH31,4,,,,0
BL0,2.9,12,35,0,0
BL1,46,282,14,104,6.1
BL2,1,24,23,0,0
BL3,48,142,2,60,3
BL4,3.9,28,110,4,66
BL5,15,0,0,8,0
BL6,5.2,17,89,0,0
BL7,11,52,12,39,4.7
BL8,5.8,26,151,0,0
BL9,35,71,0,0,2
BN1,2.8,36,100,0,28
BN2,33,0,0,30,0
BN3,0,23,0,0,0
BN5,2,31,0,0,15.5
BN6,5.3,10,53,0,0
BN7,12,50,0,0,4.2
BN8,10.8,14,151,0,0
BN9,7,48,0,12,6.9
BN10,14.3,6,86,0,0
BN11,10,60,0,0,6
BN12,10.5,11,115,0,0
BN13,8,3,0,0,0.4
BN14,9.2,15,138,0,0
BN15,9,60,0,0,6.7
BN16,7.5,8,60,0,0
BN17,9,122,0,0,13.6
BN18,5.7,12,68,0,0
BN20,9,0,0,144,0
BN21,11.5,4,46,0,0
BN22,13,29,0,16,2.2
BN23,2.2,12,26,0,0
BN24,3,12,0,0,4
BN25,0,10,0,0,0
BN26,2,,,,0
BN27,4,12,48,0,0
BN41,12,65,0,48,5.4
BN42,0,2,,,
BN43,8,,,,0
BN44,0,4,,,
BR1,23,,,,0
BR2,0,18,,,
BR3,19,,,,0
BR4,0,8,,,
BR5,16,,,,0
BR6,0,19,,,
BR7,11,,,,0
BR8,3.3,11,36,0,0
BS1,6,12,0,0,2
BS2,1.2,10,12,0,0
BS3,13,0,0,0,0
BS4,1.7,22,38,0,0
BS5,18,0,0,0,0
BS6,7.4,17,125,0,0
BS7,19,42,0,0,2.2
BS8,0,8,,,
BS9,17,77,0,0,4.5
BS10,0,12,0,0,0
BS11,15,78,0,0,5.2
BS13,5.4,16,86,0,0
BS14,11,,,,0
BS15,0,17,0,54,0
BS16,38,86,0,25,2.3
BS20,14.3,15,214,12,0
BS21,9,124,0,0,13.8
BS22,9.5,19,181,36,0
BS23,15,76,0,0,5.1
BS24,8.3,15,125,0,0
BS25,6,0,42,0,0
BS26,0,2,,,
BS27,4,,,,0
BS28,1,3,3,0,0
BS29,1,,,,0
BS30,2.7,20,54,73,25
BS31,11,24,0,0,2.2
BS32,7.1,16,114,0,25
BS34,14,48,0,0,3.4
BS35,5.5,20,110,0,25
BS36,9,31,0,0,3.4
BS37,1.4,24,33,41,0
BS39,8,49,0,0,6.1
BS40,5.4,12,65,0,0
BS41,3,,,,0
BS48,4.9,18,88,24,10
BS49,4,,,,0
CA1,4.3,11,47,0,0
CA2,17,77,0,0,4.5
CA3,2.7,7,19,0,0
CA4,11,60,0,0,5.5
CA5,4.1,13,53,0,0
CA6,11,60,0,0,5.5
CA7,3.3,24,79,0,0
CA8,12,63,0,0,5.3
CA9,0,2,,,
CA10,17,80,0,0,4.7
CA11,3.8,16,60,0,0
CA12,9,108,0,0,12
CA13,6.9,15,104,0,0
CA14,27,95,0,0,3.5
CA15,5.7,17,97,0,0
CA16,9,41,0,0,4.6
CA17,1.5,4,6,17,0
CA19,2,9,0,0,4.5
CA20,11.5,2,23,0,0
CA21,2,6,0,0,3
CA22,4.9,7,34,0,0
CA23,1,,,,0
CA24,0,1,,,
CA25,3,19,0,0,6.3
CA26,1.8,5,9,0,0
CA27,2,0,0,0,0
CA28,2.5,17,42,0,0
CB1,29,204,23,0,7
CB2,10.2,22,224,7,0
CB3,10,23,0,0,2.3
CB4,3.6,18,64,0,0
CB5,4,18,0,0,4.5
CB6,8.2,23,188,0,0
CB7,13,0,0,0,0
CB8,5.6,21,117,0,0
CB9,17,12,0,0,0.7
CB10,4,8,32,0,0
CB11,16,58,56,29,3.6
CB21,6,16,96,0,0
CB22,17,287,0,0,16.9
CB23,25.1,25,627,22,0
CB24,24,302,0,0,12.6
CB25,8.3,9,75,0,0
CH1,15,38,0,0,2.5
CH2,8.5,19,162,84,0
CH3,17,132,0,0,7.8
CH4,0,11,0,0,0
CH41,14,10,0,0,0.7
CH42,1.7,7,12,0,0
CH43,16,75,0,0,4.7
CH44,4.3,8,34,0,0
CH45,8,,,,0
CH46,0.5,10,5,0,0
CH47,1,,,,0
CH48,0,8,,,
CH49,18,0,44,0,0
CH60,0,3,,,
CH61,8,26,0,0,3.3
CH62,14.1,13,183,0,0
CH63,14,66,0,0,4.7
CH64,1.9,8,15,0,0
CH65,12,,,,0
CH66,2,14,28,0,0
CM0,8,0,0,0,0
CM1,1.8,36,65,36,0
CM2,35,190,20,0,5.4
CM3,6.5,40,260,0,0
CM4,6,16,0,0,2.7
CM5,0,6,0,0,0
CM6,13,139,0,30,10.7
CM7,4,25,99,0,0
CM8,20,59,0,0,3
CM9,4.8,16,76,0,0
CM11,8,72,0,0,9
CM12,6,14,84,0,0
CM13,16,53,22,0,3.3
CM14,5.2,6,31,0,0
CM15,22,33,0,0,1.5
CM16,8.8,12,105,18,0
CM17,14,55,0,0,3.9
CM18,0.9,19,17,0,0
CM19,12,13,0,0,1.1
CM20,1.3,16,21,0,0
CM21,6,0,0,0,0
CM22,2.6,12,31,0,0
CM23,29,37,0,0,1.3
CM24,0,4,0,0,0
CM77,7,88,0,0,12.6
CO1,8.6,7,60,0,0
CO2,22,0,0,0,0
CO3,3.8,28,107,0,0
CO4,26,29,0,0,1.1
CO5,5.1,14,71,0,0
CO6,23,62,0,0,2.7
CO7,3.4,17,58,0,0
CO8,2,0,0,0,0
CO9,1,22,21,0,0
CO10,30,28,0,0,0.9
CO11,7,10,70,0,0
CO12,13,11,0,0,0.8
CO13,0,7,0,0,0
CO14,4,32,0,0,8
CO15,6.4,15,96,0,0
CO16,12,9,0,0,0.8
CR0,0,57,,,
CR2,20,,,,0
CR3,0.7,18,13,0,0
CR4,24,,,,0
CR5,0,9,,,
CR6,4,,,,0
CR7,0,18,,,
CR8,15,,,,0
CT1,3.6,14,50,0,0
CT2,13,24,0,0,1.8
CT3,10.3,20,205,0,0
CT4,10,97,0,0,9.7
CT5,14.9,7,104,0,0
CT6,10,127,0,0,12.7
CT7,0,4,,,
CT8,4,34,0,0,8.5
CT9,0,12,,,
CT10,16,40,0,0,2.5
CT11,3.8,12,45,0,0
CT12,9,,,,0
CT13,5.1,7,36,0,0
CT14,15,72,0,0,4.8
CT15,5.5,13,72,0,0
CT16,13,216,0,0,16.6
CT17,0,10,,,
CT18,5,31,0,0,6.2
CT19,0,16,0,20,0
CT20,8,27,0,0,3.4
CT21,0,6,,,
CV1,14,25,0,0,1.8
CV2,0,25,,,
CV3,26,125,0,0,4.8
CV4,0,12,,,
CV5,17,115,0,0,6.8
CV6,1.5,32,49,0,0
CV7,20,0,0,0,0
CV8,4.3,14,60,0,0
CV9,19,45,0,0,2.4
CV10,4.2,27,113,0,0
CV11,17,0,0,0,0
CV12,0,13,0,0,0
CV13,8,,,,0
CV21,10.6,13,138,0,0
CV22,24,74,0,0,3.1
CV23,6.3,15,94,0,0
CV31,19,102,0,0,5.4
CV32,6.5,14,91,0,27
CV33,4,0,0,0,0
CV34,2.3,17,39,36,0
CV35,13,50,0,0,3.8
CV36,9.4,7,66,0,0
CV37,21,18,0,0,0.9
CV47,7.4,17,126,0,0
CW1,15,325,55,15,21.7
CW2,11.1,20,222,39,54
CW3,7,26,0,0,3.7
CW4,9.8,6,59,0,0
CW5,22,274,0,0,12.5
CW6,3.5,10,35,0,1
CW7,15,0,6,0,0
CW8,3.4,26,89,0,0
CW9,18,28,26,0,1.6
CW10,20.9,9,188,0,0
CW11,12,151,0,0,12.6
CW12,6.6,18,119,53,5
DA1,23,60,0,0,2.6
DA2,4.3,12,51,0,0
DA3,9,0,0,18,0
DA4,0,2,,,
DA5,5,,,,0
DA6,0,6,,,
DA7,9,,,,0
DA8,0,11,,,
DA9,2,,,,0
DA10,0,3,,,
DA11,16,0,0,18,0
DA12,2,18,36,0,0
DA13,7,24,0,90,3.4
DA14,0,9,,,
DA15,13,,,,0
DA16,0,14,,,
DA17,8,,,,0
DA18,0,4,,,
DE1,7,,,,0
DE3,9,12,108,0,0
DE4,27,40,0,27,1.5
DE5,9.7,16,155,0,52
DE6,21,16,0,19,0.8
DE7,14.5,33,478,33,165
DE11,24,48,0,54,2
DE12,0,15,0,0,57
DE13,35,671,41,77,19.2
DE14,23.4,14,328,0,35
DE15,15,153,0,16,10.2
DE21,7.4,25,186,0,162
DE22,23,283,0,251,12.3
DE23,4,30,120,0,235
DE24,27,244,0,5,9
DE45,4.9,11,54,0,29
DE55,48,285,0,274,5.9
DE56,7.1,25,178,0,54
DE65,16,47,0,151,2.9
DE72,28.9,9,260,0,0
DE73,11,135,0,0,12.3
DE74,7.7,6,46,0,0
DE75,12,76,0,0,6.3
DH1,7.5,28,211,0,0
DH2,12,110,0,0,9.2
DH3,12.9,14,180,0,0
DH4,13,22,0,5,1.7
DH5,0,15,0,0,0
DH6,17,117,0,0,6.9
DH7,3.6,26,93,0,0
DH8,21,0,0,0,0
DH9,4,26,103,0,0
DL1,18,0,0,29,0
DL2,3.1,14,43,0,99
DL3,20,0,8,159,0
DL4,6.5,4,26,0,0
DL5,14,,,,0
DL6,2,9,18,0,0
DL7,12,38,12,0,3.2
DL8,1,19,19,0,0
DL9,9,0,0,0,0
DL10,4.6,13,60,0,0
DL11,4,,,,0
DL12,0,9,0,0,0
DL13,16,115,0,0,7.2
DL14,2.7,25,68,0,0
DL15,16,34,0,0,2.1
DL16,1,15,15,0,0
DL17,12,19,0,0,1.6
DN1,0,4,,,
DN2,9,,,,0
DN3,0,13,,,
DN4,21,,,,0
DN5,0,21,,,
DN6,14,,,,0
DN7,0,10,,,
DN8,6,,,,0
DN9,8,14,112,0,2
DN10,10,99,0,12,9.9
DN11,4.1,14,58,0,12
DN12,14,,,,0
DN14,1.5,27,40,0,0
DN15,18,156,0,36,8.7
DN16,8.6,18,154,0,1
DN17,16,68,0,2,4.3
DN18,6.4,8,51,0,1
DN19,2,0,0,0,0
DN20,8,12,96,0,2
DN21,28,15,0,56,0.5
