Node,No delivery due to covid,L1 and L2 places attended - 2019/20,Number of instructors,Level 3 Places Attended (2018/19),Levels 1 and 2 Places Attended (2018/19),Level 3 places attended - 2019/20,Number of schools,Level 3 Places Attended (2020/21),% schools that booked Bikeability,Plus Places Attended (2020/21),Levels 1 and 2 places attended (2020/21)
NE32,,0,0,0,0,0,1,0,0,0,0
NE33,,0,0,0,0,0,1,0,0,0,0
NE34,,0,0,0,0,0,6,0,0,0,0
NE63,,0,0,0,0,0,1,0,0,0,0
NE70,,0,0,0,0,0,1,0,100,0,17
NG15,,0,0,0,0,0,1,0,0,0,0
NG17,,0,0,0,0,0,1,0,0,0,0
NR4,,0,0,0,0,0,3,0,0,0,0
NR5,,0,0,0,0,0,8,0,0,0,0
NR6,,0,0,0,0,0,5,0,0,0,0
NR9,,0,0,0,0,0,10,0,0,0,0
NR16,YES,0,0,0,0,0,10,0,20,0,0
NR25,,0,0,0,0,0,17,0,6,0,28
NR26,,0,0,0,0,0,13,0,8,0,24
NR31,,0,0,0,0,0,1,0,0,0,0
NR32,,0,0,0,0,0,2,0,0,0,0
NR34,,0,0,0,0,0,4,0,25,0,5
OL2,,0,0,0,0,0,18,0,0,0,0
OL4,,0,0,0,0,0,23,0,0,0,0
OL10,,0,0,0,0,0,15,0,0,0,0
OL11,,0,0,0,0,0,20,0,0,0,0
OL13,,0,0,0,0,0,18,0,0,0,0
OL15,,0,0,0,0,0,14,0,0,0,0
PE13,,0,0,0,0,0,2,0,0,0,0
PL7,,0,0,0,0,0,1,0,100,0,11
PL11,,0,0,0,0,0,3,0,0,0,0
PO8,,0,0,0,0,0,1,0,0,0,0
PO11,,0,0,0,0,0,3,0,33,10,20
PO12,,0,0,0,0,0,1,0,0,0,0
PO13,,0,0,0,0,0,1,0,100,10,9
PO14,,0,0,0,0,0,1,0,100,0,10
PR4,,0,0,0,0,0,1,0,0,0,0
PR5,,0,0,0,0,0,1,0,0,0,0
PR26,,0,0,0,0,0,1,0,0,0,0
RM3,,0,0,0,0,0,13,0,0,0,0
RM4,,0,0,0,0,0,13,0,0,0,0
RM7,,0,0,0,0,0,11,0,0,0,0
S2,,0,0,0,0,0,7,0,0,0,0
S12,,0,0,0,0,0,6,0,0,0,0
S13,,0,0,0,0,0,14,0,0,0,0
S14,,0,0,0,0,0,3,0,0,0,0
S18,,0,0,0,0,0,13,0,0,0,0
S25,,0,0,0,0,0,1,0,0,0,0
S35,,0,0,0,0,0,2,0,0,0,0
SE5,,0,0,0,0,0,6,0,0,0,0
SE22,,0,0,0,0,0,10,0,0,0,0
SE27,,0,0,0,0,0,12,0,0,0,0
SN2,,0,0,0,0,0,12,0,0,0,0
SN16,,0,0,0,0,0,9,0,0,0,0
SO19,,0,0,0,0,0,1,0,0,0,0
SS2,,0,0,0,0,0,1,0,0,0,0
SW1H,,0,0,0,0,0,6,0,0,0,0
SW1V,,0,0,0,0,0,16,0,0,0,0
SW1W,,0,0,0,0,0,6,0,0,0,0
SW1X,,0,0,0,0,0,6,0,0,0,0
SW6,,0,0,0,0,0,1,0,0,0,0
SW7,,0,0,0,0,0,1,0,0,0,0
SW9,,0,0,0,0,0,7,0,0,0,0
SW10,,0,0,0,0,0,14,60,7,60,48
SY1,,0,0,0,0,0,5,0,0,0,0
SY2,,0,0,0,0,0,9,0,0,0,0
SY10,,0,0,0,0,0,5,0,0,0,0
SY12,,0,0,0,0,0,14,0,0,0,0
SY13,,0,0,0,0,0,10,0,0,0,0
SY15,,0,0,0,0,0,5,0,0,0,0
SY22,,0,0,0,0,0,9,0,0,0,0
TA3,,0,0,0,0,0,1,0,100,0,24
TA4,,0,0,0,0,0,1,0,0,0,0
TA5,,0,0,0,0,0,1,0,0,0,0
TA6,,0,0,0,0,0,8,0,0,0,0
TA10,,0,0,0,0,0,1,0,0,0,0
TF10,,0,0,0,0,0,2,0,0,0,0
TN5,,0,0,0,0,0,3,0,0,0,0
TN20,,0,0,0,0,0,1,0,0,0,0
TS4,,0,0,0,0,0,1,0,0,0,0
TS10,,0,0,0,0,0,1,0,0,0,0
TS15,,0,0,0,0,0,2,0,0,0,0
TS16,,0,0,0,0,0,1,0,0,0,0
TW8,,0,0,0,0,0,8,0,0,0,0
TW11,,0,0,0,0,0,4,0,0,0,0
UB6,,0,0,0,0,0,8,0,0,0,0
UB7,,0,0,0,0,0,10,0,0,0,0
UB8,,0,0,0,0,0,16,0,0,0,0
UB9,,0,0,0,0,0,7,0,0,0,0
W1B,,0,0,0,0,0,16,0,0,0,0
W1U,,0,0,0,0,0,23,0,0,0,0
W4,,0,0,0,0,0,13,0,0,0,0
W5,,0,0,0,0,0,3,0,0,0,0
W6,,0,0,0,0,0,1,0,0,0,0
W7,,0,0,0,0,0,1,0,0,0,0
W8,,0,0,0,0,0,6,0,0,0,0
W9,,0,0,0,0,0,1,0,0,0,0
W11,,0,0,0,0,0,16,0,0,0,0
W13,,0,0,0,0,0,14,0,0,0,0
WA3,,0,0,0,0,0,7,0,0,0,0
WA10,,0,0,0,0,0,3,0,0,0,0
WA11,,0,0,0,0,0,1,0,0,0,0
WA15,,0,0,0,0,0,17,0,0,0,0
WA16,,0,0,0,0,0,24,0,0,0,0
WD3,,0,0,0,0,0,1,0,0,0,0
WD4,,0,0,0,0,0,1,0,0,0,0
WD6,,0,0,0,0,0,1,0,0,0,0
WD7,,0,0,0,0,0,3,0,0,0,0
WF1,,0,0,0,0,0,2,0,0,0,0
WF10,,0,0,0,0,0,1,0,0,0,0
YO12,,0,0,0,0,0,3,0,0,0,0
IP30,,5,0,0,0,0,4,0,50,0,30
CA24,,6,0,0,0,0,1,0,0,0,0
TR6,,7,0,0,0,0,1,0,0,0,0
NW1,,9,0,0,0,0,11,0,9,0,11
PE19,,10,0,0,0,0,4,0,0,0,0
PL33,,10,0,0,0,0,3,0,0,0,0
HU9,,11,0,0,0,0,1,0,0,0,0
OX27,,11,0,0,0,0,13,0,0,0,0
PL20,,11,0,0,0,0,2,0,50,12,0
TR27,,11,0,0,0,0,12,0,42,0,66
BS1,,12,0,0,0,0,5,0,20,0,12
M44,,12,0,0,0,0,4,0,0,0,0
TA7,,12,0,0,0,0,6,0,17,0,31
LA5,,14,0,0,0,0,1,0,100,0,12
CH42,,15,0,0,0,0,8,0,13,0,12
L12,,15,0,0,0,0,8,0,13,0,21
PL9,,15,0,0,0,0,13,0,38,68,126
M4,YES,17,0,0,0,0,4,0,25,0,0
PE8,,18,0,0,0,0,12,0,8,0,9
YO23,,18,0,0,0,0,3,0,0,0,0
BS29,,19,0,0,0,0,1,0,0,0,0
S6,,19,0,0,0,0,7,38,43,38,0
PL13,,21,0,0,0,0,7,0,43,0,12
TR20,,21,0,0,0,0,3,0,67,0,24
TS24,,21,0,0,0,0,6,0,0,0,0
CR6,,22,0,0,0,0,4,0,0,0,0
L36,,22,0,0,0,0,3,0,0,0,0
PR2,,22,0,0,0,0,2,0,0,0,0
NE66,,23,0,0,0,0,10,7,10,0,31
IP8,,24,0,0,0,0,11,0,0,0,0
TR2,,24,0,0,0,0,11,0,27,0,23
B80,,25,0,0,0,0,5,0,0,0,0
BH3,,25,0,0,0,0,1,0,100,0,30
BS49,,25,0,0,0,0,4,0,0,0,0
PE9,,26,0,0,0,0,12,22,33,0,81
CA9,,27,0,0,0,0,3,0,0,0,0
CH47,,27,0,0,0,0,2,0,0,0,0
CO8,YES,27,0,0,0,0,1,0,100,0,0
DN8,,27,0,0,0,0,14,0,0,0,0
PL28,,27,0,0,0,0,3,0,67,36,24
L7,,28,0,0,0,0,6,0,0,0,0
BS31,,29,0,0,0,0,11,0,9,0,24
HP7,YES,29,0,0,0,0,8,0,13,0,0
BD6,,30,0,0,0,0,10,0,10,0,25
CH41,,30,0,0,0,0,13,0,15,0,10
DN33,,30,0,0,0,0,3,0,0,0,0
EX31,,30,0,0,0,0,8,0,75,10,39
TR8,,30,0,0,0,0,7,0,71,0,41
TS18,,30,0,0,0,0,5,0,20,0,21
IP3,,31,0,0,0,0,5,0,20,0,12
NR8,,32,0,0,0,0,11,0,36,36,24
TS14,,32,0,0,0,0,11,0,27,0,24
DY6,,33,0,0,0,0,12,0,0,0,0
L23,,33,0,0,0,0,9,0,11,0,7
SO43,,34,0,0,0,0,5,0,40,39,0
TN9,,34,0,0,0,0,6,0,0,0,0
PL10,,35,0,0,0,0,12,0,25,0,32
DG12,,36,0,0,0,0,10,0,40,0,76
OX49,,38,0,0,0,0,4,9,50,0,41
B6,,40,0,0,0,0,15,18,13,12,95
PO9,,40,0,0,0,0,1,0,0,0,0
BH7,,41,0,0,0,0,4,0,0,0,0
PE31,,41,0,0,0,0,5,0,0,0,0
PL27,,41,0,0,0,0,4,0,50,12,78
BN16,,42,0,0,0,0,8,0,13,0,60
TS19,,42,0,0,0,0,2,0,50,0,36
CT17,,43,0,0,0,0,10,0,0,0,0
TR9,,45,0,0,0,0,9,0,56,0,63
NE36,,47,0,0,0,0,5,0,20,0,19
SN13,,48,0,0,0,0,3,0,33,0,24
NR18,YES,49,0,0,0,0,9,0,22,0,0
PL34,,49,0,0,0,0,4,0,25,0,137
SG15,YES,49,0,0,0,0,2,0,50,0,0
NR27,,52,0,0,0,0,15,0,33,0,107
IP4,,53,0,0,0,0,5,0,40,0,84
TS12,,53,0,0,0,0,8,0,50,0,81
CM24,YES,54,0,0,0,0,4,0,50,0,0
L25,,54,0,0,0,0,4,0,25,0,55
TS17,,56,0,0,0,0,6,0,33,0,121
CT15,,59,0,0,0,0,11,0,27,0,72
GU10,,59,0,0,0,0,2,0,100,0,9
TR21,,59,0,0,0,0,10,0,30,0,98
KT17,,65,0,0,0,0,8,0,13,0,12
TR26,,65,0,0,0,0,9,0,44,0,36
CT20,,66,0,0,0,0,7,0,14,0,27
GU25,YES,68,0,0,0,0,3,0,33,0,0
L32,,70,0,0,0,0,3,0,0,0,0
L26,YES,72,0,0,0,0,7,0,14,0,0
PO10,,72,0,0,0,0,7,0,14,0,36
PE21,,77,0,0,0,0,5,18,20,0,18
B25,YES,78,0,0,0,0,3,0,33,0,0
L31,,87,0,0,0,0,11,0,18,0,28
DN6,,96,0,0,0,0,4,0,50,0,44
CH61,,97,0,0,0,0,7,0,29,0,26
DN40,,100,0,0,0,0,2,0,0,0,0
L8,,101,0,0,0,0,7,0,43,0,52
SO41,,101,0,0,0,0,5,0,20,0,36
NR28,,102,0,0,0,0,11,0,27,25,96
EX32,,103,0,0,0,0,9,0,56,0,102
NW7,,114,0,0,0,0,9,48,56,90,72
DN19,YES,122,0,0,0,0,3,0,33,0,0
S71,,122,0,0,0,0,6,0,33,8,102
L3,,123,0,0,0,0,9,0,0,0,0
WA7,,135,0,0,0,0,14,0,0,0,0
DN37,YES,144,0,0,0,0,10,0,20,0,0
B75,YES,149,0,0,0,0,11,0,36,0,0
L20,,151,0,0,0,0,11,0,18,0,30
DE55,,160,0,0,0,0,11,0,64,52,155
SK10,,160,0,0,0,0,6,0,50,0,56
CV33,YES,161,0,0,0,0,4,0,50,0,0
LA14,,166,0,0,0,0,9,0,11,0,12
CT6,,182,0,0,0,0,9,0,33,0,127
LA13,,192,0,0,0,0,18,0,28,0,117
L40,,205,0,0,0,0,15,0,13,0,57
WA8,,207,0,0,0,0,10,19,20,0,18
S42,,211,0,0,0,0,11,0,18,0,3
SO32,,261,0,0,0,0,14,0,0,0,0
WF8,,285,0,0,0,0,15,0,40,21,42
S4,,395,0,0,0,0,14,0,43,121,354
SO18,YES,420,0,0,0,0,13,0,8,0,0
SR3,,424,0,0,0,0,19,0,21,120,129
BN15,,0,2,22,0,0,9,0,11,0,60
SY9,YES,0,0,29,0,0,3,0,33,0,0
BT2,,0,1,0,0,0,0,0,0,0,0
BT5,,0,1,0,0,0,0,0,0,0,0
BT8,,0,1,0,0,0,0,0,0,0,0
BT23,,0,1,0,0,0,0,0,0,0,0
BT27,,0,1,0,0,0,0,0,0,0,0
BT38,,0,1,0,0,0,0,0,0,0,0
BT39,,0,1,0,0,0,0,0,0,0,0
BT48,,0,1,0,0,0,0,0,0,0,0
BT56,,0,1,0,0,0,0,0,0,0,0
BT94,,0,1,0,0,0,0,0,0,0,0
CF10,,0,1,0,0,0,0,0,0,0,0
CF15,,0,1,0,0,0,0,0,0,0,0
CF33,,0,1,0,0,0,0,0,0,0,0
CF48,,0,1,0,0,0,0,0,0,0,0
DE3,,0,1,0,0,0,0,0,0,0,0
DH1,,0,1,0,0,0,0,0,0,0,0
DH2,,0,1,0,0,0,0,0,0,0,0
GL9,,0,1,0,0,0,0,0,0,0,0
HA2,,0,1,0,0,0,0,0,0,0,0
HA3,,0,1,0,0,0,0,0,0,0,0
HA4,,0,1,0,0,0,0,0,0,0,0
HA7,,0,1,0,0,0,0,0,0,0,0
IP15,,0,1,0,0,0,0,0,0,0,0
IP16,,0,1,0,0,0,0,0,0,0,0
IP18,,0,1,0,0,0,0,0,0,0,0
KT2,,0,1,0,0,0,0,0,0,0,0
LE16,,0,1,0,0,0,0,0,0,0,0
LE17,,0,1,0,0,0,0,0,0,0,0
LE18,,0,1,0,0,0,0,0,0,0,0
