Row Labels,Count of No delivery due to covid,Sum of L1 and L2 places attended - 2019/20,Sum of Level 3 Places Attended (2018/19),Sum of Levels 1 and 2 Places Attended (2018/19),Sum of L3 places attended - 2019/20,Sum of Number of schools,Sum of Level 3 Places Attended (2020/21),Sum of % schools that booked Bikeability,Sum of Plus Places Attended (2020/21),Sum of Levels 1 and 2 places attended (2020/21)
HX2,Yes,447,0,260,0,20,0,35,0,0
HX3,Yes,384,0,372,0,22,0,45,0,0
HX4,Yes,169,0,40,0,5,0,40,0,0
HX5,Yes,43,0,42,0,6,0,33,0,0
HX6,Yes,119,0,135,0,15,0,33,0,0
HX7,Yes,235,0,241,0,11,0,55,0,0
IG7,Yes,60,0,0,30,10,0,20,0,0
IP1,Yes,68,0,10,0,18,0,6,0,0
IP17,Yes,25,0,19,0,8,0,13,0,0
IP2,Yes,59,0,46,0,12,0,17,0,0
IP21,Yes,51,0,0,0,8,0,38,0,0
IP23,Yes,9,0,8,0,6,0,17,0,0
IP25,Yes,0,0,0,0,8,0,13,0,0
IP5,Yes,220,0,224,0,5,0,20,0,0
KT10,Yes,161,0,504,0,10,0,40,0,0
KT11,Yes,0,0,0,0,10,0,10,0,0
KT18,Yes,148,0,182,0,8,0,25,0,0
KT20,Yes,147,0,277,0,10,0,10,0,0
L26,Yes,72,0,0,0,7,0,14,0,0
L6,Yes,17,0,0,0,7,0,14,0,0
LE10,Yes,116,34,108,32,20,0,5,0,0
LS24,Yes,13,0,0,0,8,0,13,0,0
M22,Yes,222,0,123,21,14,0,21,0,0
M25,Yes,205,0,202,0,15,0,13,0,0
M38,Yes,109,0,44,0,6,0,33,0,0
M4,Yes,17,0,0,0,4,0,25,0,0
ME15,Yes,145,0,0,4,18,0,6,0,0
MK14,Yes,80,0,79,0,12,0,8,0,0
MK19,Yes,44,0,104,0,8,0,38,0,0
MK6,Yes,50,0,63,0,15,0,7,0,0
NE13,Yes,128,0,87,0,6,0,33,0,0
NE18,Yes,13,0,4,0,1,0,100,0,0
NE2,Yes,131,0,117,0,8,0,25,0,0
NE21,Yes,84,0,152,0,6,0,33,0,0
NE22,Yes,58,0,70,0,9,0,11,0,0
NE23,Yes,211,0,226,24,15,0,13,0,0
NE24,Yes,181,0,177,0,11,0,9,0,0
NE26,Yes,140,0,143,0,6,0,17,0,0
NE37,Yes,98,0,106,0,8,0,13,0,0
NE4,Yes,94,0,196,0,19,0,16,0,0
NE7,Yes,210,0,51,0,4,0,25,0,0
NE71,Yes,33,0,34,0,2,0,50,0,0
