Node,MSP,Number of sites,"Local Sites (Supercentre SC, Superstore SS, Supermarket SM, Asda Living AL, Depots)",AOTM(s),PFS(s),Kids Eat for £1 meals sold (since July 2022),Winter Warmer meals sold (since November 2022)
Central Scotland,Kevin Stewart,1,Aberdeen Beach SS,,,5392,1211
Glasgow,Jackie Dunbar,2,Dyce SS; Middleton Park SS,,Dyce SS; Middleton Park SS,,
Highlands and Islands,Audrey Nicoll,1,Bridge of Dee SC,,Bridge of Dee SC,4463,1770
Lothian,Alexander Burnett,2,Huntly SS; Portlethen SS,,Huntly SS; Portlethen SS,3607,2026
Mid Scotland and Fife,Angela Constance,1,Livingston SC,Livingston,,7130,2955
North East Scotland,Mairi Gougeon,2,Arbroath SS; Forfar SS,,Arbroath SS; Forfar SS,,
South of Scotland,Siobhian Brown,1,Ayr SS,,Ayr SS,5768,1436
West of Scotland,Karen Adam,2,Fraserburgh SS; Peterhead SS,,Fraserburgh SS; Peterhead SS,,N/a
