Node,"Conservative Prediction",Lab_pred,Lib_pred,SNP_pred,Plaid_pred,Green_pred,RefUK_pred,Other_pred,Winner_pred,Con_2019,Lab_2019,Lib_2019,SNP_2019,Plaid_2019,Green_2019,Brexit_2019,Other_2019,Winner_2019
Hove,18.5,54.4,10.5,0,0,8.6,5.2,3,Lab,28.1,58.3,6.6,0,0,4.4,2,0.6,Lab
"Harrogate and Knaresborough",29.8,23.2,34.5,0,0,5.1,4.5,3.1,Lib,52.6,9.6,35.6,0,0,0,0,2.1,Con
"Brighton, Pavilion",12.6,29,9.2,0,0,42,4.9,2.5,Green,17.5,22.8,0,0,0,57.2,1.3,1.2,Green
"Boston and Skegness",40.2,26.2,13.6,0,0,4.5,12.1,3.7,Con,76.7,15.2,4.7,0,0,0,0,3.4,Con
"Truro and Falmouth",29,40.6,17.4,0,0,6.7,4.4,2,Lab,46,38.3,12.1,0,0,2.9,0,0.7,Con
"Sheffield, Heeley",21,49.4,11.7,0,0,8.2,6.8,3.1,Lab,30.3,50.3,6.8,0,0,4.2,8.3,0,Lab
Totnes,33,26,29.4,0,0,4.5,5,2.3,Con,53.2,17,28.8,0,0,0,0,1,Con
"Hayes and Harlington",22.8,46.4,9.3,0,0,8.1,10.2,3.3,Lab,34.7,55.8,4.4,0,0,1.7,2.9,0.4,Lab
Birkenhead,13.4,56.4,7.1,0,0,8,6.5,8.8,Lab,13.1,59,3.8,0,0,3.3,3.5,17.2,Lab
"Glasgow North West",12.1,29.2,6.7,47,0,2,2.2,2,SNP,15.2,28.5,6.8,49.5,0,0,0,0,SNP
Makerfield,21.4,48.1,7.7,0,0,5.6,12.7,4.6,Lab,34.4,45.1,4.8,0,0,2.6,13.1,0,Lab
Basingstoke,32.9,35.3,12.9,0,0,7.1,7.7,4.2,Lab,54.1,28.1,12.5,0,0,3.9,0,1.4,Con
"Kenilworth and Southam",36.7,25.5,18.3,0,0,9.2,5.7,4.7,Con,57.7,17.9,19,0,0,4.5,0,0.9,Con
Moray,32,13.4,8.2,40,0,1.7,3.3,2,SNP,45.3,5,4.6,44.2,0,0,0,0.8,Con
"East Yorkshire",39.7,32,13.4,0,0,6.3,5.3,3.4,Con,64.4,21.2,8,0,0,3.2,0,3.2,Con
Southport,27.5,44.2,14.7,0,0,4.6,6.8,2.4,Lab,47.6,39,13.5,0,0,0,0,0,Con
Banbury,33.2,33.7,15.4,0,0,7.2,7,3.6,Lab,54.3,27.6,14,0,0,4.1,0,0,Con
Inverclyde,12.8,29.7,6.6,45,0,1.9,2,2.7,SNP,15.7,29.5,6.4,48.4,0,0,0,0,SNP
Chichester,37.2,26.1,20.4,0,0,6.6,6.3,3.8,Con,57.8,14.8,22.7,0,0,4.1,0,0.5,Con
"Chesham and Amersham",34.9,25.2,22.8,0,0,7.4,6.3,3.6,Con,55.4,12.9,26.3,0,0,5.5,0,0,Con
"North East Cambridgeshire",44.3,25.8,11,0,0,7.8,6.3,5.1,Con,72.5,15.9,8.1,0,0,3.4,0,0,Con
"Hackney South and Shoreditch",12.4,57.6,11,0,0,12,5.3,1.9,Lab,10.8,73.3,8.9,0,0,5.4,1.4,0.2,Lab
"North East Hampshire",37.6,23.8,21.8,0,0,6.4,6.7,4,Con,59.5,9.7,25.4,0,0,3,0,2.4,Con
"Manchester Central",11.2,63.8,7.4,0,0,9,5.3,3.5,Lab,14.8,70.4,6.5,0,0,3.6,4.5,0.2,Lab
Rhondda,11.5,55.5,7.1,0,10,7.1,9.2,0.8,Lab,15.8,54.4,2.1,0,13.7,1.5,12.6,0,Lab
"Colne Valley",29.2,42.7,12.8,0,0,6.3,6.1,3,Lab,48.4,40,6.3,0,0,1.8,2.1,1.4,Con
"Don Valley",29.9,39.7,10.2,0,0,6.4,9.9,4.2,Lab,43.2,35.2,4.2,0,0,1.9,13.7,1.8,Con
Walthamstow,12.4,59.2,9.4,0,0,10.3,6.8,2.1,Lab,12.3,76.1,5.9,0,0,3.6,1.6,0.5,Lab
"Dumfriesshire, Clydesdale and Tweeddale",33,14.6,8.7,37,0,1.9,3.4,2,SNP,46,8.5,7.2,38.3,0,0,0,0,Con
"Sittingbourne and Sheppey",41,28.1,9.9,0,0,5.7,10.8,4.6,Con,67.6,20,6.3,0,0,2.3,0,3.9,Con
"Glasgow North",9.7,32.6,6.4,44,0,4.4,2,2.1,SNP,10.5,31.4,6.6,46.9,0,3.6,0.9,0,SNP
"Edinburgh North and Leith",12.5,26,11.5,42,0,5,2.1,2,SNP,18.5,22.1,11.2,43.7,0,3.3,0.9,0.2,SNP
"Rutland and Melton",34.8,28,17.2,0,0,8.5,9.3,2.4,Con,62.6,16.4,13.7,0,0,4.9,0,2.4,Con
Peterborough,29.5,41.9,9.2,0,0,7.9,7.4,4.3,Lab,46.7,41.3,4.9,0,0,1.5,4.4,1.1,Con
Beaconsfield,40.1,22.9,11.6,0,0,6.7,9.5,9.4,Con,56.1,9.9,0,0,0,3.5,0,30.4,Con
"Newcastle upon Tyne North",22.3,51.9,12.1,0,0,4.2,7,2.8,Lab,33.2,45.4,9.3,0,0,2.9,9.2,0,Lab
"South Cambridgeshire",27.9,23.5,35.7,0,0,5.8,4.2,3.1,Lib,46.3,11.7,42,0,0,0,0,0,Con
"Wolverhampton North East",31.5,37.6,12.2,0,0,6.6,7.5,4.8,Lab,51.7,39.8,2.8,0,0,1.8,3.9,0,Con
"South West Bedfordshire",37.3,32.2,13.2,0,0,8.5,5.2,3.9,Con,60.4,25.6,10.2,0,0,3.8,0,0,Con
"Houghton and Sunderland South",23,50.2,10.2,0,0,3.6,9.2,4,Lab,32.9,40.7,5.8,0,0,2.8,15.5,2.3,Lab
"Mid Sussex",34,29.5,19.7,0,0,6.6,6.8,3.6,Con,53.3,17.9,24.3,0,0,3.6,0,1,Con
"West Dorset",33.8,20.3,33.4,0,0,6.1,4.7,1.9,Con,55.1,9.4,32,0,0,3.5,0,0,Con
"Lewisham, Deptford",12.7,56.5,11.5,0,0,11.8,5.6,2,Lab,11.4,70.8,10.4,0,0,5.6,1.4,0.4,Lab
"Ynys Mon",21.2,43.9,7.3,0,16,4.9,7.2,0.7,Lab,35.5,30.1,0,0,28.5,0,6,0,Con
Gedling,26.2,47,10.8,0,0,7,7.4,1.7,Lab,45.5,44.1,4.6,0,0,2.2,3.6,0,Con
"Bristol East",21.4,49.5,13.7,0,0,7.7,6.2,1.8,Lab,32.4,53.1,6.8,0,0,4,3.6,0,Lab
"Birmingham, Perry Barr",17.1,54.1,10.6,0,0,7.8,6.8,3.8,Lab,26.8,63.1,4.5,0,0,2,3.3,0.4,Lab
Bootle,9.1,69.8,5.7,0,0,6.4,5.8,3.4,Lab,9.2,79.4,3.7,0,0,2.4,5.3,0,Lab
Torfaen,20.2,44.1,8.1,0,6,8.3,13,0.8,Lab,31.8,41.8,4.9,0,3.9,2.2,15.4,0,Lab
"Na h-Eileanan an Iar",17,28.7,5.9,43,0,1.8,2.5,2,SNP,22.2,28.3,4.4,45.1,0,0,0,0,SNP
"Bexhill and Battle",40,28.6,13.1,0,0,6.5,7.9,4.1,Con,63.6,19.5,12.3,0,0,4.6,0,0,Con
"Cities of London and Westminster",25.6,29.2,27.3,0,0,7.6,7.7,2.7,Lab,39.9,27.2,30.7,0,0,1.7,0,0.5,Con
"Walsall South",25.2,45.9,10.9,0,0,7,6.5,4.7,Lab,41,49.1,3.8,0,0,1.5,3.9,0.7,Lab
Worcester,30.8,36.7,13.8,0,0,7.6,6.2,5.2,Lab,50.8,37.5,7.2,0,0,3.3,0,1.1,Con
"Merthyr Tydfil and Rhymney",14.4,52.6,9.9,0,8,5.2,8.9,2,Lab,19.6,52.4,3.5,0,7.6,0,11.2,5.8,Lab
"North West Hampshire",38.9,26.4,17.2,0,0,6.9,6.9,3.9,Con,62.1,15.8,17.5,0,0,4.6,0,0,Con
"Milton Keynes North",30.4,41,11.2,0,0,7.1,6.7,3.7,Lab,49.5,39.5,8,0,0,3.1,0,0,Con
Redditch,37.7,31.6,13.1,0,0,7,6.2,4.7,Con,63.3,26.9,6.6,0,0,3.1,0,0,Con
Wansbeck,25.8,50.7,9.8,0,0,3.6,7.3,3,Lab,40.3,42.3,6.3,0,0,3,7.8,0.4,Lab
"Birmingham, Yardley",19.2,49.2,13.8,0,0,7.4,6.8,3.8,Lab,29.8,54.8,8.8,0,0,1.4,5.3,0,Lab
"Plymouth, Sutton and Devonport",25.3,45.9,12.3,0,0,7.6,6.9,2.2,Lab,38.9,47.9,4.8,0,0,2.9,5.5,0,Lab
"Altrincham and Sale West",28.6,43.5,11.4,0,0,6.4,7.4,3,Lab,48,36.8,11,0,0,2.9,0,1.2,Con
"Uxbridge and South Ruislip",32,36.5,10.8,0,0,7.9,8.8,4.2,Lab,52.6,37.6,6.3,0,0,2.3,0,1.2,Con
"Blyth Valley",26.9,50.1,8.8,0,0,3.4,7.8,3.2,Lab,42.7,40.9,5.3,0,0,2.8,8.3,0,Con
Orpington,38.3,24,16,0,0,8.1,9.9,3.9,Con,63.4,17.5,15.5,0,0,3.7,0,0,Con
"Heywood and Middleton",25.3,45.7,8.2,0,0,6.2,10.7,4.1,Lab,43.1,41.7,4.4,0,0,2.6,8.3,0,Con
Ceredigion,13.9,38.1,12.1,0,20,8.9,6.5,1,Lab,22.1,15.8,17.4,0,37.9,1.7,5.1,0,Plaid
"Edinburgh South",12.9,43.8,7.4,29,0,3.1,2.2,2,Lab,16.4,47.7,7.7,25.4,0,2.7,0,0,Lab
"Brighton, Kemptown",22.6,48.6,10.1,0,0,9.1,6.6,3.1,Lab,35,51.6,6.1,0,0,4.6,2.7,0,Lab
Harlow,38.6,35.8,9.5,0,0,6.8,5.3,4,Con,63.5,31,5.5,0,0,0,0,0,Con
"Sheffield, Hallam",17,37.7,31.1,0,0,7,4.8,2.7,Lab,25.8,34.6,33.4,0,0,2.9,2.7,0.5,Lab
"Cardiff West",16.7,54,7.8,0,7,7.5,6.4,0.9,Lab,28,51.8,5.9,0,8.4,2.5,3.5,0,Lab
"Greenwich and Woolwich",18.1,47.7,14.1,0,0,10.9,6.7,2.6,Lab,22.1,56.8,13.7,0,0,4.4,2.3,0.7,Lab
Preston,15.9,57.7,8.4,0,0,6.8,7.6,3.8,Lab,25.8,61.8,5.1,0,0,2,5.3,0,Lab
Huntingdon,33.4,28.9,17.2,0,0,8.5,6.4,5.9,Con,54.8,22,15.9,0,0,3.8,0,3.5,Con
"Rossendale and Darwen",31.9,42.7,8.9,0,0,5.6,8.1,3,Lab,56.5,37,4.1,0,0,2.4,0,0,Con
"Sunderland Central",23.7,50.6,10.5,0,0,4.3,7.7,3.4,Lab,35.4,42.2,7,0,0,2.8,11.6,1.1,Lab
"Doncaster North",24.9,43.5,9,0,0,5.4,12.5,4.9,Lab,32.9,38.7,3.6,0,0,0,20.4,4.5,Lab
"Tunbridge Wells",34.8,26.7,23.8,0,0,4.6,6.4,4,Con,55.1,14.8,28.3,0,0,0,0,1.8,Con
"Staffordshire Moorlands",39.8,29.2,12.1,0,0,6.8,7,5.2,Con,64.6,26.9,5.7,0,0,2.8,0,0,Con
Islwyn,17.2,51.6,7.7,0,7,5.8,10.7,0.8,Lab,28.8,44.7,3.8,0,6.7,1.9,14.1,0,Lab
Ashford,38.5,30.3,12.4,0,0,6.9,7.9,4.2,Con,62.1,22,10.1,0,0,4.4,0,1.4,Con
"Epsom and Ewell",34.2,27.8,21.3,0,0,6.6,6.3,3.9,Con,53.5,17.2,23.5,0,0,3.4,0,2.4,Con
Kingswood,34.7,37.1,14.2,0,0,6,5.7,2.5,Lab,56.2,33.4,6.9,0,0,2.4,0,1,Con
"South Ribble",31.8,41.7,10.3,0,0,5.4,8.2,2.8,Lab,55.8,35,6.9,0,0,2.2,0,0,Con
Hexham,32.6,43.4,12.3,0,0,3.3,6,2.7,Lab,54.5,31.6,10.1,0,0,3.7,0,0,Con
"Birmingham, Northfield",29.6,39.4,12.3,0,0,7.1,6.8,5.1,Lab,46.3,42.5,4.6,0,0,2.2,3.8,0.6,Con
"West Ham",14,55,10.7,0,0,9.8,7.5,3.2,Lab,16.3,70.1,6.9,0,0,3,2.8,1,Lab
"Leeds West",19.8,51.4,10.4,0,0,8.1,7.3,3.2,Lab,28.9,55.1,4.4,0,0,3.2,6.7,1.8,Lab
Rushcliffe,27.5,40,18.3,0,0,6.8,5.7,1.9,Lab,47.5,34.9,15.9,0,0,0,0,1.7,Con
Harborough,30,34.4,19,0,0,8.1,6.6,2,Lab,55.3,25.2,15.9,0,0,3,0,0.7,Con
Canterbury,28.4,46.5,10.5,0,0,5.8,5.6,3.3,Lab,45.2,48.3,5.7,0,0,0,0,0.8,Lab
"Caithness, Sutherland and Easter Ross",17.1,13.4,26.3,36,0,3.3,2.5,2.2,SNP,16.5,6.2,37.2,36.6,0,0,3.6,0,Lib
Cheadle,26.7,30.4,28,0,0,4.7,7.9,2.5,Lab,46,12.3,41.8,0,0,0,0,0,Con
"Normanton, Pontefract and Castleford",26,41.5,11.9,0,0,5.6,10.5,4.6,Lab,35.3,37.9,6.5,0,0,0,16.6,3.7,Lab
Hartlepool,22.8,46.5,9.4,0,0,3.8,12.9,4.8,Lab,28.9,37.7,4.1,0,0,0,25.8,3.4,Lab
"Brentford and Isleworth",22.3,44.9,13.3,0,0,9.3,7.3,3,Lab,32.2,50.2,12.5,0,0,3.1,2,0,Lab
Waveney,39.1,32.3,8.5,0,0,9,6.4,5,Con,62.2,26.9,5.1,0,0,5.3,0,0.5,Con
"Rayleigh and Wickford",45.2,25,10.3,0,0,8.1,6.1,5.6,Con,72.6,16.1,7.6,0,0,3.6,0,0,Con
"Liverpool, Riverside",8,69.2,5.8,0,0,9.4,4.4,3.3,Lab,7.8,78,5.1,0,0,5.7,3.4,0,Lab
"Brent North",22.4,45.3,11.7,0,0,7.9,9.2,3.8,Lab,36.3,51.9,7.8,0,0,1.6,1.8,0.5,Lab
"Leeds North West",17.8,47.4,20,0,0,7.2,5.2,2.7,Lab,26.8,48.6,19.1,0,0,2.8,2.6,0,Lab
Huddersfield,23.1,47.9,11.2,0,0,8,7,3.1,Lab,37.2,49,5.7,0,0,4.2,4,0,Lab
Chesterfield,22.2,44.1,15.2,0,0,7.2,9.1,2.4,Lab,37,40.2,8.8,0,0,2.5,10.6,0.9,Lab
"St Austell and Newquay",34.7,32.1,17.7,0,0,6,5.9,3.9,Con,56.1,26.4,10.5,0,0,2.9,0,4.1,Con
"East Worthing and Shoreham",31.7,40.5,10.2,0,0,6.8,7.4,3.6,Lab,51,37,7.8,0,0,3.8,0,0.5,Con
"Manchester, Withington",10,63.6,11.3,0,0,8.6,4,2.8,Lab,11,67.7,15.1,0,0,3.7,2.5,0,Lab
Loughborough,29,42.5,12.3,0,0,8.7,5.8,1.9,Lab,51.2,38,7.6,0,0,2.8,0,0.4,Con
"Clwyd West",27.1,47.4,6.1,0,8,4.8,6.4,0.7,Lab,50.7,34,5.6,0,9.7,0,0,0,Con
"Derby North",26.8,42.5,13.2,0,0,8.4,7.1,2.2,Lab,45.2,39.8,7.3,0,0,2.2,4.1,1.4,Con
"East Lothian",19.3,30.6,7.1,37,0,1.8,2.6,2,SNP,26.5,29.5,7,36.2,0,0,0,0.8,SNP
"Newport East",20.6,49.2,9.2,0,6,5.7,9.2,0.8,Lab,39,44.4,5.8,0,2.4,1.6,6.8,0,Lab
"Stoke-on-Trent South",37.2,34.8,11.4,0,0,5.3,6.2,5.4,Con,62.2,33.7,4.1,0,0,0,0,0,Con
Ashton-under-Lyne,22,49.1,7.9,0,0,6.9,10.2,4.1,Lab,37,48.1,3.6,0,0,3.1,8.2,0,Lab
Corby,30.3,43.7,12.5,0,0,5.5,6.2,2.1,Lab,55.2,38.3,6.5,0,0,0,0,0,Con
"Chatham and Aylesford",39.9,30.7,9.6,0,0,5.9,9.8,4.3,Con,66.6,23.8,6.6,0,0,2.5,0,0.5,Con
Beckenham,34,29.6,15.6,0,0,8.5,8.6,4,Con,54,25.8,16.2,0,0,4.1,0,0,Con
"Rochford and Southend East",36.2,36.8,9.1,0,0,6.4,6,5.8,Lab,58.7,32,6.1,0,0,0,0,3.2,Con
"Kingston and Surbiton",24,21,34.4,0,0,8.9,8.6,3.3,Lib,33.9,10.7,51.1,0,0,1.7,1.3,1.3,Lib
"Swansea West",18,51.1,10.8,0,6,6.1,7.6,0.9,Lab,29,51.6,8.4,0,5.5,0,5.5,0,Lab
"North Dorset",38.3,23.9,24.3,0,0,6.1,5.5,2.1,Con,63.6,12,20.3,0,0,4,0,0,Con
"Dagenham and Rainham",28.5,37.7,9.5,0,0,7.7,12.4,4.4,Lab,43.8,44.5,2.7,0,0,1.4,6.6,1,Lab
"Brent Central",16.6,52.4,11.4,0,0,9.6,7.7,2.5,Lab,22.2,64.7,9.9,0,0,3.3,0,0,Lab
"Denton and Reddish",20.4,51.6,7.4,0,0,6,9.9,4.8,Lab,34.1,50.1,4.3,0,0,2.9,7.9,0.8,Lab
Hendon,29.3,39.9,11.7,0,0,7.7,8.1,3.5,Lab,48.8,41.1,8.4,0,0,1.7,0,0,Con
"Newcastle upon Tyne Central",16.6,58.1,11.1,0,0,5.6,5.9,2.8,Lab,24.8,57.6,7.2,0,0,3.6,6.8,0,Lab
Stevenage,32.8,38.6,11.8,0,0,8.1,5.3,3.6,Lab,53.1,35.2,8.7,0,0,3.1,0,0,Con
"Torridge and West Devon",36.4,26.9,23.1,0,0,5.8,5.6,2.4,Con,60.1,17.2,18.3,0,0,3.5,0,0.9,Con
"South Thanet",34.8,36.9,9.2,0,0,6.8,7.8,4.8,Lab,56.1,34.2,5.7,0,0,4,0,0,Con
"North Thanet",38.5,33.2,10.6,0,0,6.6,7.2,4.1,Con,62.4,26.7,7.1,0,0,3.7,0,0,Con
Chippenham,32.6,23.1,32.4,0,0,4.9,5.3,1.9,Con,54.3,11.2,34.5,0,0,0,0,0,Con
"Blaenau Gwent",12.7,53.4,8.8,0,6,6.2,12.5,0.9,Lab,19,49.2,4.3,0,5.7,1.3,20.6,0,Lab
Havant,41,27.4,13.7,0,0,6.1,7.3,4.7,Con,65.4,18,12.4,0,0,3.5,0,0.7,Con
"Hazel Grove",28.7,29,27.4,0,0,4.5,7.7,2.9,Lab,48.8,12.4,38.8,0,0,0,0,0,Con
"Portsmouth South",23.4,46.6,12.6,0,0,7.3,7,3.3,Lab,37.3,48.6,11.4,0,0,0,2.1,0.5,Lab
Yeovil,35,19.6,31.3,0,0,6.1,5.5,2.7,Con,58.4,6.3,31.1,0,0,2.7,0,1.5,Con
Rochdale,18.8,52.6,8.9,0,0,6.8,8.9,4.3,Lab,31.2,51.6,7,0,0,2.1,8.2,0,Lab
"Warrington North",23.9,47.4,9.4,0,0,5.8,10.2,3.5,Lab,40.9,44.2,6.6,0,0,2.7,5.6,0,Lab
"Folkestone and Hythe",38.1,30.9,12,0,0,7,7.2,5.1,Con,60.1,24,9.8,0,0,4.6,0,1.6,Con
"Maidstone and The Weald",37.7,27.8,16.1,0,0,6.9,7.4,4.3,Con,60.4,18.3,16.4,0,0,4.2,0,0.7,Con
"Thirsk and Malton",38,28.4,18.6,0,0,6.6,5.3,3.2,Con,63,18.5,12,0,0,4,0,2.5,Con
Aylesbury,32.7,32.5,16.2,0,0,7.4,7.8,3.6,Con,54,25.4,16.6,0,0,4,0,0,Con
Aldershot,35.6,31.7,14.9,0,0,7.1,7,3.9,Con,58.4,23.5,14.4,0,0,3.7,0,0,Con
"Welwyn Hatfield",32.6,35.9,14.8,0,0,8.4,5,3.5,Lab,52.6,31.6,12.7,0,0,3.1,0,0,Con
"Ochil and South Perthshire",26.4,16.7,7.5,43,0,1.7,3.7,2,SNP,38.7,8.6,5.5,46.5,0,0,0,0.7,SNP
"Bradford East",15.7,55.1,11.4,0,0,8.2,6.3,3.4,Lab,21.9,63,7.5,0,0,1.5,6.1,0,Lab
"Bradford South",26,46.8,9.6,0,0,6.9,7.4,3.3,Lab,40.4,46.3,3.8,0,0,2.5,7.1,0,Lab
"Doncaster Central",24.6,43.9,9.9,0,0,6.5,10.5,4.8,Lab,34.5,40,4.2,0,0,2.4,16.5,2.4,Lab
"Filton and Bradley Stoke",30.3,40.3,15.6,0,0,7.2,4.6,2.1,Lab,48.9,38.4,9.3,0,0,2.9,0,0.5,Con
"Hitchin and Harpenden",28.6,26.8,31.1,0,0,5.8,4.4,3.5,Lib,47.1,16.9,35.4,0,0,0,0,0.6,Con
"Basildon and Billericay",40.9,28.9,11.3,0,0,8,6.3,4.8,Con,67.1,20.8,8.5,0,0,3.2,0,0.5,Con
"Harrow East",30.9,37.5,12,0,0,6.7,9.1,3.9,Lab,54.4,37.9,7.7,0,0,0,0,0,Con
"Surrey Heath",36.8,22.7,23.2,0,0,6.9,6.8,3.9,Con,58.6,9.2,27.3,0,0,3.8,0,1.1,Con
