Node,"No delivery due to covid","L1 and L2 places attended - 2019/20","No. of Instructors","Level 3 Places Attended (2018/19)","Levels 1 and 2 Places Attended (2018/19)","L3 places attended - 2019/20","Number of schools","Level 3 Places Attended (2020/21)","% schools that booked Bikeability","Plus Places Attended (2020/21)","Levels 1 and 2 places attended (2020/21)"
W10,,0,0,0,0,0,23,0,0,0,0
W11,,0,2,0,0,0,12,0,0,0,0
W12,,0,3,0,0,0,21,0,0,0,0
W13,,0,1,0,0,0,10,0,0,0,0
W14,,0,0,0,0,0,13,0,0,0,0
WA1,,60,0,18,88,0,16,0,0,0,0
WA2,,236,1,0,218,40,13,0,54,0,44
WA3,,368,0,0,324,39,20,8,30,0,62
WA4,,180,4,36,189,36,12,0,17,0,86
WA5,,321,3,0,527,56,11,0,45,98,604
WA6,,168,1,0,122,26,6,0,33,27,81
WA7,YES,147,1,0,277,0,10,0,10,0,0
WA8,,131,1,97,184,44,15,238,13,0,22
WA9,,194,1,0,0,0,21,0,5,0,33
WA10,,126,1,0,0,0,13,0,8,0,19
WA11,,135,0,0,0,0,14,0,0,0,0
WA12,,207,0,0,0,0,10,19,20,0,18
WA13,,150,1,0,122,0,12,0,25,0,71
WA14,,251,2,0,292,12,10,0,40,0,29
WA15,,564,8,0,351,36,40,0,38,30,186
WA16,,144,3,27,177,0,12,0,25,0,71
WC1A,,0,0,0,0,0,1,0,0,0,0
WC1B,,0,0,0,0,0,1,0,0,0,0
WC1H,,0,0,0,0,0,1,0,0,0,0
WC1N,,0,0,0,0,0,3,0,0,0,0
WC2B,,0,0,0,0,0,2,0,0,0,0
WC2E,,0,0,0,0,0,1,0,0,0,0
WD3,,169,1,0,319,0,11,0,18,0,12
WD4,YES,32,0,0,47,0,8,0,25,0,0
WD5,YES,66,0,0,101,0,20,0,5,0,0
WD6,,52,0,0,47,0,1,0,0,0,0
WD7,,150,1,0,97,0,19,0,26,0,37
WD17,,42,0,0,36,0,3,0,67,0,54
WD18,,60,4,0,45,0,14,0,21,12,29
WD19,,75,0,0,86,0,13,0,23,0,53
WD23,,183,1,6,136,4,14,0,14,0,37
WD24,,18,0,0,14,0,7,0,29,0,67
WD25,,41,0,0,32,0,17,0,12,0,22
WF1,,106,2,0,163,0,22,0,27,0,31
WF2,YES,216,1,0,181,0,19,0,5,0,0
WF3,,265,0,0,279,0,24,0,17,0,93
WF4,,55,0,0,253,0,11,0,45,0,190
WF5,,208,0,0,176,27,16,25,25,10,92
WF6,,45,0,0,40,0,4,0,0,0,0
WF7,,68,3,0,64,0,10,0,10,0,60
WF8,,119,3,0,221,0,24,0,46,0,104
WF9,,200,0,0,148,14,20,94,35,0,89
WF10,,90,0,0,47,0,4,0,50,0,41
WF11,,0,2,0,49,0,4,0,25,0,12
WF12,,113,2,0,0,0,18,0,39,40,97
WF13,,285,0,0,0,0,15,0,40,21,42
WF14,,195,2,0,0,0,8,0,38,0,136
WF15,,183,1,0,0,0,9,0,78,89,102
WF16,,112,0,0,0,4,5,0,40,67,28
WF17,,374,3,0,0,6,27,0,63,141,200
WN1,,123,2,0,81,0,13,0,23,0,156
WN2,,298,2,0,151,6,14,0,29,0,89
WN3,,138,1,0,164,0,8,0,38,12,99
WN4,,94,1,0,105,0,15,0,7,0,22
WN5,,81,4,0,80,0,19,0,16,0,102
WN6,,219,0,0,176,0,12,0,8,0,28
WN7,YES,276,3,0,90,0,7,0,14,0,0
WN8,,188,2,0,0,0,31,0,19,0,121
WR1,,30,1,0,33,0,13,0,0,0,0
WR2,YES,148,0,0,223,0,11,0,27,0,0
WR3,,144,1,0,148,0,12,0,58,25,114
WR4,,52,0,0,33,0,5,0,0,0,0
WR5,,168,1,0,87,0,5,0,40,0,40
WR6,,111,1,0,72,0,15,0,0,0,0
WR7,YES,0,0,0,43,0,3,0,33,0,0
WR8,,127,1,0,69,0,11,0,0,0,0
WR9,,138,1,0,165,0,12,0,17,0,40
WR10,,125,2,0,136,0,26,0,4,0,21
WR11,,294,0,0,332,30,22,0,41,0,118
WR12,,38,1,0,50,0,4,0,50,0,9
WR13,,12,0,0,47,0,4,0,25,0,12
WR14,,117,3,6,216,4,16,6,44,24,168
WR15,,40,0,0,18,0,4,0,25,0,18
WS1,,175,2,7,88,0,7,0,0,0,0
WS2,,337,0,0,116,0,17,0,47,0,111
WS3,,170,1,0,213,0,13,0,31,0,31
WS4,,21,0,0,69,21,9,0,33,0,73
WS5,,40,0,0,40,0,4,0,0,0,0
WS6,,190,0,8,356,52,15,25,53,87,358
WS7,,203,2,0,260,0,14,0,29,0,144
WS8,,91,1,0,107,0,11,0,9,0,29
WS9,,288,0,0,189,0,12,0,25,0,41
WS10,,65,0,8,60,10,1,0,100,9,60
WS11,,186,4,0,295,0,19,0,21,38,154
WS12,,322,3,0,428,0,19,0,42,0,188
WS13,,300,2,27,297,37,19,8,16,159,0
WS14,,241,2,0,240,49,14,4,29,0,101
WS15,,282,0,0,305,18,16,0,63,2,159
WV1,,168,3,55,188,53,9,28,56,0,146
WV2,,0,0,0,7,0,5,0,0,0,0
WV3,,353,1,22,536,64,20,71,50,192,327
WV4,,83,1,23,173,0,11,0,36,0,78
WV5,,290,2,0,124,42,22,60,5,60,120
WV6,,162,0,0,124,0,14,0,21,0,50
WV7,,18,0,0,0,0,3,0,0,0,0
WV8,,168,2,51,158,0,8,0,50,5,114
WV9,,0,0,0,17,0,2,0,0,0,0
WV10,,242,2,0,175,14,16,0,56,78,126
WV11,,442,0,0,402,0,16,65,38,1,262
WV12,,124,0,0,69,0,17,0,35,0,68
WV13,YES,66,1,0,54,0,5,0,40,0,0
WV14,,133,2,26,223,49,27,21,26,0,151
WV15,,0,0,0,0,0,3,0,0,0,0
WV16,,54,0,0,39,4,8,0,13,0,18
YO7,,274,2,13,67,12,15,10,27,0,75
YO8,,197,3,0,208,0,8,0,50,0,101
YO10,,235,1,0,132,48,14,0,57,0,30
YO11,,51,2,0,68,4,8,0,13,0,29
YO12,,179,0,0,183,0,7,0,57,0,113
YO13,YES,49,2,0,102,0,17,0,6,0,0
YO14,,56,0,0,52,0,9,0,11,0,24
YO15,,18,0,0,31,0,4,0,0,0,0
YO16,YES,64,0,0,33,0,8,0,13,0,0
YO17,YES,439,3,0,104,0,11,0,18,0,0
YO18,,47,0,0,76,0,8,0,50,3,92
YO19,YES,136,5,0,37,0,19,0,21,0,0
YO21,YES,6,2,0,26,0,14,0,7,0,0
YO22,YES,35,1,0,43,0,4,0,75,0,0
YO23,,217,1,0,157,24,9,0,56,48,65
YO24,,102,0,20,91,0,14,0,43,0,59
YO25,YES,235,0,0,241,0,11,0,55,0,0
YO26,,110,0,0,153,0,8,0,25,0,53
YO30,,25,3,26,27,25,10,7,30,0,71
YO31,,25,2,0,118,0,22,0,14,0,128
YO32,,197,1,59,254,0,9,55,33,55,96
YO41,,125,0,0,45,0,2,0,50,0,22
YO42,,0,1,0,61,0,2,0,0,0,0
YO43,,499,7,0,71,15,26,0,35,12,240
YO51,,15,0,0,53,0,15,0,0,0,0
YO60,,0,1,0,39,0,5,0,0,0,0
YO61,,44,3,0,99,2,12,0,50,0,21
YO62,,83,1,101,89,0,13,36,46,0,181
